LOF_2014_ABS;#Cidade;LOF_2014_REL;#Cidade;LOF_2014_REL_NOR;#Cidade;LOF_2014_SUA;#Cidade;LOF_2014_SUA_NOR;#Cidade
1,12;JOSÉ BONIFÁCIO - SP;1,15;JOSÉ BONIFÁCIO - SP;1,27;JOSÉ BONIFÁCIO - SP;1,06;JOSÉ BONIFÁCIO - SP;1,12;JOSÉ BONIFÁCIO - SP
1,12;PENÁPOLIS - SP;1,04;PENÁPOLIS - SP;1,2;PENÁPOLIS - SP;1,23;PENÁPOLIS - SP;1,22;PENÁPOLIS - SP
1,22;CATANDUVA - SP;1,29;CATANDUVA - SP;1,44;CATANDUVA - SP;1,23;CATANDUVA - SP;1,2;CATANDUVA - SP
1,24;JARAGUÁ - GO;1,1;JARAGUÁ - GO;1,11;JARAGUÁ - GO;1,23;JARAGUÁ - GO;1,19;JARAGUÁ - GO
1,06;GUAPOREMA - PR;1,18;GUAPOREMA - PR;2,11;GUAPOREMA - PR;1,24;GUAPOREMA - PR;1,2;GUAPOREMA - PR
1,11;SANTA FÉ - PR;1,04;SANTA FÉ - PR;1,38;SANTA FÉ - PR;1,18;SANTA FÉ - PR;1,16;SANTA FÉ - PR
1,07;SÃO SIMÃO - SP;1,09;SÃO SIMÃO - SP;1,33;SÃO SIMÃO - SP;1,02;SÃO SIMÃO - SP;1,04;SÃO SIMÃO - SP
1,04;IRAPUÃ - SP;1,02;IRAPUÃ - SP;1,09;IRAPUÃ - SP;0,98;IRAPUÃ - SP;0,97;IRAPUÃ - SP
1,05;ORINDIÚVA - SP;1,14;ORINDIÚVA - SP;1,37;ORINDIÚVA - SP;1,04;ORINDIÚVA - SP;1,03;ORINDIÚVA - SP
1,02;PEDRO DE TOLEDO - SP;1,02;PEDRO DE TOLEDO - SP;1,1;PEDRO DE TOLEDO - SP;1;PEDRO DE TOLEDO - SP;1,01;PEDRO DE TOLEDO - SP
