#Codigo;Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);Legislativa(2015);Judiciária(2015);Essencial à Justiça(2015);Administração(2015);Defesa Nacional(2015);Segurança Pública(2015);Relações Exteriores(2015);Assistência Social(2015);Previdência Social(2015);Saúde(2015);Trabalho(2015);Educação(2015);Cultura(2015);Direitos da Cidadania(2015);Urbanismo(2015);Habitação(2015);Saneamento(2015);Gestão Ambiental(2015);Ciência e Tecnologia(2015);Agricultura(2015);Organização Agrária(2015);Indústria(2015);Comércio e Serviços(2015);Comunicações(2015);Energia(2015);Transporte(2015);Desporto e Lazer(2015);Encargos Especiais(2015);Despesas (Intraorçamentárias)(2015)
316080;0.58;-0.28;-0.15;0.03;-0.08;-0.32;-0.01;0.04;-0.64;-0.21;-0.22;-0.25;0.21;-0.10;-0.43;-0.09;-0.31;-0.29;-0.10;-0.46;-0.04;-0.17;-0.22;-0.21;-0.44;0.40;-0.18;-0.81;-0.31;0.55;-0.29;-0.08;0.02;-0.08;-0.31;-0.02;0.29;-0.66;-0.16;-0.22;-0.22;0.43;-0.12;-0.33;1.30;-0.36;-0.28;-0.11;-0.44;-0.04;-0.19;-0.21;-0.22;-0.45;0.22;-0.33;-0.82;-0.37
431910;0.64;-0.28;0.72;-0.09;-0.08;-0.30;-0.01;0.03;-0.64;0.42;18.73;-0.58;-0.29;-0.10;-0.88;-0.10;-0.31;-0.21;-0.10;0.41;-0.04;-0.05;-0.10;-0.21;1.39;-0.53;-0.46;4.36;-0.31;0.81;-0.29;0.56;0.16;-0.08;-0.29;-0.02;0.03;-0.66;-0.15;18.39;-0.69;-0.39;-0.12;-0.98;-0.08;-0.48;-0.19;-0.11;0.98;-0.04;-0.16;0.09;-0.22;1.84;-0.57;-0.40;5.02;-0.37
350240;0.60;-0.05;-0.15;0.04;-0.08;-0.32;-0.01;1.70;-0.64;0.42;-0.22;0.83;2.93;-0.10;1.37;-0.22;-0.41;-0.44;-0.10;0.30;-0.04;-0.17;-0.26;-0.21;-0.44;1.75;1.55;1.41;-0.31;0.62;-0.21;-0.08;0.18;-0.08;-0.31;-0.02;2.38;-0.66;1.36;-0.22;1.18;2.42;-0.12;0.80;-0.16;-0.48;-0.41;-0.11;0.69;-0.04;-0.19;-0.25;-0.22;-0.45;2.37;2.10;1.02;-0.37
250470;0.43;-0.28;-0.15;-0.47;-0.08;-0.32;-0.01;0.44;-0.64;-0.21;-0.22;0.27;0.72;-0.10;0.74;-0.18;-0.41;-0.44;-0.10;1.92;-0.04;-0.17;-0.26;-0.21;-0.44;-0.45;-0.43;-0.42;-0.31;0.44;-0.29;-0.08;-0.51;-0.08;-0.31;-0.02;0.24;-0.66;-0.13;-0.22;0.59;0.42;-0.12;0.67;-0.16;-0.48;-0.41;-0.11;0.87;-0.04;-0.19;-0.25;-0.22;-0.45;-0.57;-0.11;-0.44;-0.37
314420;1.64;2.08;-0.15;0.50;-0.08;-0.12;-0.01;1.18;0.42;0.56;1.25;-0.42;2.49;-0.10;0.83;-0.15;1.07;-0.44;-0.10;-0.10;-0.04;-0.17;-0.26;0.15;0.77;0.07;0.77;0.05;-0.31;1.26;1.27;-0.08;3.30;0.08;-0.06;-0.02;1.64;0.35;0.14;1.59;0.71;0.31;-0.12;0.02;-0.16;-0.48;-0.40;-0.11;-0.60;-0.04;-0.19;-0.21;-0.22;-0.45;-0.54;-0.56;0.71;-0.37
315600;-0.53;1.32;-0.15;-0.87;-0.08;-0.11;-0.01;-0.14;-0.56;-0.40;-0.22;-0.98;0.46;-0.10;-0.59;-0.22;-0.36;-0.35;-0.10;-0.38;-0.04;-0.17;-0.26;0.72;0.33;-0.31;-0.51;-0.81;-0.31;-0.39;1.48;-0.08;-0.89;-0.08;-0.20;-0.02;0.02;-0.02;-0.01;-0.22;-0.46;0.48;-0.12;-0.66;-0.16;-0.37;-0.41;-0.11;-0.26;-0.04;-0.19;-0.25;0.81;0.45;-0.45;-0.44;-0.51;-0.37
231375;-0.31;-0.28;-0.15;-0.75;-0.08;-0.32;-0.01;-0.05;-0.64;-0.44;-0.22;-0.09;-0.04;-0.10;-0.43;-0.22;-0.31;-0.44;-0.10;-0.25;-0.04;-0.17;-0.26;-0.21;-0.44;-0.51;-0.64;-0.69;-0.31;-0.36;-0.29;-0.08;-0.75;-0.08;-0.31;-0.02;-0.05;-0.66;-0.48;-0.22;-0.09;0.04;-0.12;-0.47;0.00;0.35;-0.41;-0.11;-0.17;-0.04;-0.19;-0.25;-0.22;-0.45;-0.55;-0.56;-0.78;-0.37
521710;-0.01;-0.27;-0.15;-0.40;-0.07;0.25;-0.01;0.16;2.19;-0.42;-0.22;-0.72;-0.65;-0.10;0.05;-0.22;-0.41;-0.41;-0.10;-0.55;-0.04;0.09;0.09;-0.21;-0.44;-0.21;0.01;1.08;-0.31;-0.08;-0.28;0.23;-0.75;-0.06;0.35;-0.02;0.21;2.94;-0.30;-0.22;-0.58;-0.63;-0.12;0.01;-0.14;-0.48;-0.36;-0.11;-0.55;-0.04;0.08;-0.23;-0.22;-0.45;-0.23;-0.29;1.83;-0.37
221063;-1.21;-0.28;-0.15;0.71;-0.08;-0.32;-0.01;0.87;-0.64;0.27;-0.22;0.15;0.89;-0.10;-0.47;-0.22;-0.41;-0.39;-0.10;0.20;-0.04;-0.17;-0.26;-0.21;-0.44;-0.53;-0.12;-0.21;-0.31;0.72;-0.29;-0.08;0.80;-0.08;-0.31;-0.02;1.20;-0.66;-0.04;-0.22;0.20;1.12;-0.12;-0.32;-0.16;-0.22;-0.41;-0.11;0.38;-0.04;-0.19;-0.25;-0.22;-0.45;-0.57;-0.56;-0.23;-0.37
220865;-0.48;-0.28;-0.15;-0.41;-0.08;-0.06;-0.01;-0.67;-0.64;-0.77;0.23;-0.29;-0.45;-0.10;-1.06;-0.22;-0.41;-0.44;-0.10;-0.17;-0.04;-0.17;-0.26;-0.21;-0.44;-0.26;-0.64;-0.57;-0.31;-0.42;-0.28;-0.08;-0.35;-0.08;-0.08;-0.02;-0.41;-0.66;-0.76;0.27;-0.08;-0.38;-0.12;-1.01;0.04;-0.48;-0.41;-0.11;-0.20;-0.04;-0.19;-0.25;-0.22;-0.45;-0.31;-0.15;-0.67;-0.37
353050;-0.78;-0.28;-0.15;-0.62;-0.08;0.06;-0.01;-0.03;0.89;-0.01;-0.22;-0.55;-0.16;-0.10;-0.36;0.18;-0.41;-0.43;-0.10;-0.47;-0.04;-0.17;-0.26;-0.21;-0.44;-0.39;-0.18;0.10;-0.31;-0.83;-0.29;-0.08;-0.55;-0.08;0.44;-0.02;-0.39;-0.21;0.31;-0.22;-0.27;0.02;-0.12;-0.18;-0.15;-0.48;-0.41;-0.11;-0.29;-0.04;-0.16;-0.25;-0.22;-0.45;-0.26;-0.01;-0.23;-0.37
