#Cidade;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2014_ABS;LOF_2014_REL;LOF_2014_REL_NOR;LOF_2014_SUA;LOF_2014_SUA_NOR
ÁGUA BRANCA - PB;9990.0;575724.85;0.00;0.00;1770123.16;0.00;0.00;0.00;829970.88;1091889.48;5226616.77;0.00;7207725.50;579592.64;0.00;1249127.67;0.00;705.00;107630.85;0.00;590751.85;0.00;0.00;0.00;0.00;0.00;80479.69;472463.66;273903.06;0.00;1.03;1.05;1.06;0.97;0.97
TENENTE PORTELA - RS;14056.0;903625.89;0.00;982992.82;3889743.04;0.00;0.00;0.00;1323844.73;2047337.76;6927018.39;0.00;6371996.81;257433.13;496299.54;1625998.00;0.00;396474.43;0.00;0.00;2573828.41;0.00;88800.62;786749.78;0.00;0.00;0.00;0.00;0.00;2982746.00;1.47;1.25;2.07;1.56;1.56
PACARAIMA - RR;11667.0;562781.91;0.00;0.00;5421317.25;0.00;0.00;0.00;602194.83;0.00;5259691.08;0.00;9069120.04;19782.78;0.00;0.00;240459.43;73599.83;0.00;0.00;7578.00;0.00;0.00;151.85;0.00;0.00;672830.39;7818.00;0.00;0.00;1.07;1.02;1.05;1.28;1.19
TAQUARA - RS;57072.0;3305734.74;181647.76;0.00;26041847.99;0.00;425850.00;0.00;1957144.45;9415485.60;22261488.54;0.00;30073401.61;898531.73;219889.56;459274.64;0.00;3730304.40;309491.81;0.00;231434.88;0.00;53655.00;69500.00;0.00;2359044.13;4741124.34;361345.68;0.00;0.00;1.30;1.19;1.26;1.31;1.23
BONFIM - RR;11632.0;574112.73;0.00;0.00;4601383.97;0.00;0.00;0.00;597551.47;0.00;4410813.74;0.00;12029370.01;221645.00;0.00;1132625.82;0.00;185788.98;5935.00;0.00;248749.29;0.00;0.00;0.00;0.00;0.00;510231.51;305973.50;0.00;0.00;1.03;1.03;1.03;1.01;1.01
CARAVELAS - BA;22442.0;1952919.15;0.00;0.00;4391572.50;0.00;302926.02;0.00;1241626.00;0.00;9979567.73;0.00;19719066.97;1963753.78;0.00;6558090.41;0.00;0.00;148492.67;0.00;78824.68;0.00;0.00;831811.26;0.00;0.00;0.00;435498.68;2520072.73;0.00;1.14;1.14;1.48;1.12;1.10
ANAMÃ - AM;11981.0;987477.07;0.00;0.00;1687644.35;0.00;1462123.49;0.00;609216.84;0.00;4041583.48;0.00;6596927.61;219359.50;0.00;2511602.42;0.00;77280.09;110313.74;0.00;40760.00;0.00;0.00;0.00;0.00;147000.00;75756.96;168549.39;344978.71;0.00;1.21;1.16;1.38;1.03;1.04
CANUTAMA - AM;14944.0;1275343.72;0.00;0.00;4252044.19;0.00;374911.71;0.00;955758.69;868733.34;6312044.89;0.00;7929225.51;268756.12;0.00;3616037.24;239149.52;1200.00;262016.79;0.00;667155.96;0.00;0.00;0.00;0.00;0.00;0.00;245294.08;424780.58;0.00;1.06;1.04;1.27;1.12;1.10
MARIA DA FÉ - MG;14534.0;853312.43;0.00;0.00;1347787.12;0.00;44246.69;0.00;463897.14;533970.22;7430806.86;0.00;9174305.51;78334.86;0.00;980162.28;0.00;414742.45;0.00;0.00;197797.89;0.00;0.00;0.00;63642.08;35191.80;1479956.97;359194.91;791658.48;0.00;1.14;1.17;1.23;1.03;1.02
NOVO HORIZONTE - SC;2643.0;541711.91;0.00;0.00;1648152.78;0.00;5324.31;0.00;351966.36;286393.62;2488217.32;0.00;2897540.16;159488.60;0.00;442039.26;51842.79;0.00;0.00;0.00;2256528.26;0.00;0.00;0.00;0.00;0.00;2509259.51;174873.22;0.00;340773.87;1.17;1.21;1.29;1.15;1.18
JACUIZINHO - RS;2634.0;543651.03;0.00;0.00;1564551.62;0.00;0.00;0.00;553421.91;7072.44;3187070.74;0.00;2931360.33;34004.42;0.00;702437.96;0.00;0.00;85334.46;0.00;1357111.51;0.00;0.00;149593.31;0.00;0.00;1035430.04;32694.87;178755.99;0.00;1.02;1.10;1.22;0.99;1.02
MOSSÂMEDES - GO;4878.0;732824.50;0.00;0.00;2895876.88;0.00;165986.74;0.00;567686.22;1555887.60;3774701.34;0.00;0.00;3672200.70;0.00;1352935.85;0.00;6270.25;63909.33;0.00;73149.25;0.00;45432.00;0.00;0.00;0.00;679351.16;50165.21;789849.28;0.00;3.13;3.46;3.40;1.39;3.34
CASTRO ALVES - BA;27194.0;1451134.60;0.00;0.00;12211425.92;0.00;0.00;0.00;946424.10;0.00;9453685.35;0.00;20866198.79;2620.00;0.00;1285621.50;0.00;0.00;0.00;0.00;786468.46;0.00;0.00;0.00;0.00;215072.63;0.00;1603157.09;329747.35;0.00;1.19;1.05;1.23;1.08;1.16
SÃO CAETANO - PE;36626.0;1458425.12;0.00;0.00;6101369.04;0.00;0.00;0.00;1508266.24;250968.70;13244126.50;0.00;22847416.96;1391935.18;0.00;2952037.37;0.00;37117.63;0.00;0.00;1181424.54;0.00;0.00;0.00;0.00;0.00;601013.28;719196.14;672649.22;0.00;1.00;0.98;0.97;0.97;1.00
ALFENAS - MG;78176.0;6170059.97;0.00;0.00;25543757.68;0.00;324871.09;0.00;3612885.20;0.00;86336648.35;101381.02;38077064.31;505383.95;0.00;8985265.64;6816.80;0.00;4858599.16;0.00;493503.98;0.00;0.00;0.00;0.00;0.00;143395.24;550650.38;5853630.71;0.00;1.35;1.32;1.50;1.14;1.20
MUNDO NOVO - BA;26935.0;1409391.37;0.00;0.00;3929526.03;0.00;0.00;0.00;1631307.42;0.00;8989821.36;0.00;19765246.84;0.00;22857.24;5642483.22;4515.00;6729.50;0.00;0.00;26726.30;0.00;0.00;427044.87;0.00;0.00;76378.05;698659.24;351553.11;0.00;1.05;1.00;1.02;1.25;1.23
CONCEIÇÃO - PB;18816.0;1108320.39;0.00;0.00;4985114.45;0.00;0.00;0.00;792654.84;0.00;11600384.35;148278.58;9794063.22;508527.78;0.00;525252.54;0.00;0.00;500198.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;86433.60;298923.63;495405.29;0.00;1.14;1.05;1.20;1.19;1.13
SANTA HELENA DE MINAS - MG;6336.0;497230.35;114600.00;0.00;2122909.50;0.00;20919.32;0.00;494922.41;616800.76;4004682.28;0.00;3176071.60;3505.00;0.00;686640.91;25000.00;0.00;2000.00;0.00;224267.62;0.00;0.00;302915.00;7172.60;0.00;509095.16;69054.57;51189.36;0.00;1.02;1.02;1.29;1.07;1.09
NOVO HORIZONTE DO SUL - MS;4442.0;813920.48;38763.04;0.00;4838163.40;0.00;0.00;0.00;553606.57;120064.05;4446460.14;0.00;4913933.94;7800.00;224307.80;905497.20;259367.38;0.00;1200.00;0.00;1357485.86;0.00;266243.34;0.00;0.00;127337.32;363127.15;500.00;81235.84;0.00;1.13;1.12;1.90;1.27;1.28
IATI - PE;18962.0;1218683.16;0.00;0.00;5944663.54;0.00;0.00;0.00;903038.28;2863092.40;8752016.88;0.00;16209978.66;423735.26;0.00;1751951.58;0.00;42728.35;59060.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;36615.00;1514182.47;0.00;1.07;1.15;1.08;1.15;1.08
PIRAÍ DO NORTE - BA;9777.0;579067.71;38250.00;0.00;1781066.87;0.00;0.00;0.00;730007.97;0.00;3429922.00;0.00;7430586.12;295248.25;0.00;1961570.16;75421.98;0.00;0.00;0.00;171506.45;0.00;0.00;26000.00;0.00;67126.74;1223.64;127199.91;509365.29;0.00;1.01;0.99;1.00;1.19;1.13
LUCAS DO RIO VERDE - MT;55094.0;4156273.02;0.00;0.00;38861710.13;0.00;0.00;0.00;5394181.80;4046128.75;38876616.95;0.00;42662340.60;1930480.26;0.00;20597148.27;0.00;11653215.84;1909280.89;0.00;1402671.40;0.00;828832.75;3503.00;0.00;0.00;3233435.27;2513882.27;283726.32;0.00;1.24;1.14;1.31;1.10;1.13
INDIANÓPOLIS - PR;4469.0;0.00;0.00;49209.30;3004907.76;0.00;0.00;0.00;617578.69;0.00;4005559.48;0.00;2900666.70;21272.20;0.00;1426334.99;0.00;0.00;2000.00;0.00;152934.44;0.00;23756.00;0.00;0.00;0.00;1146006.19;161456.94;176014.76;1084384.45;1.19;1.22;1.37;1.15;1.17
FONTOURA XAVIER - RS;10916.0;0.00;0.00;0.00;4204962.95;24702.53;0.00;0.00;487389.54;0.00;4828323.87;0.00;7141267.98;21689.00;0.00;1860260.91;0.00;542533.14;0.00;0.00;1707961.03;0.00;187736.50;68910.25;80479.00;0.00;215920.64;557876.37;1530018.40;0.00;1.30;1.36;1.59;1.39;1.17
SANTA MARIA - RS;274838.0;12103816.78;0.00;0.00;70928619.00;0.00;621343.43;0.00;8519893.75;68423148.16;96052541.08;0.00;105825214.91;1806637.10;300.00;21136095.50;1962407.86;0.00;16374196.91;0.00;806686.97;0.00;933137.20;911119.91;0.00;4101388.82;0.00;2092443.60;21241150.96;47022183.74;1.53;1.23;1.24;1.15;1.15
ESPIGÃO D'OESTE - RO;32047.0;2026453.15;0.00;0.00;11569380.12;0.00;0.00;0.00;925410.59;1404987.41;12211348.57;0.00;16034154.75;0.00;0.00;2476046.88;105772.89;152144.06;0.00;0.00;806149.47;0.00;0.00;0.00;0.00;0.00;0.00;118874.00;370593.52;0.00;1.13;1.05;1.03;1.28;1.22
AVANHANDAVA - SP;12516.0;982988.53;0.00;0.00;4783101.31;0.00;0.00;0.00;548119.57;118362.40;7103840.16;0.00;8371501.21;77637.03;0.00;2320814.94;0.00;1655492.90;70695.67;0.00;166190.75;0.00;0.00;0.00;0.00;0.00;966435.96;368898.73;760969.26;0.00;1.09;1.06;1.16;0.97;0.98
BERTIOGA - SP;55138.0;8644930.08;0.00;2392059.48;40672090.00;0.00;11641946.38;0.00;7281219.91;8520031.87;64433200.96;0.00;69580485.91;2488812.11;0.00;58245613.78;0.00;0.00;6264909.10;0.00;0.00;0.00;0.00;2453573.41;0.00;0.00;0.00;731450.83;14869928.08;17761284.25;1.20;1.39;2.19;1.25;1.19
CACIMBAS - PB;7075.0;440794.22;46672.00;0.00;1466147.52;0.00;0.00;0.00;564100.71;217928.04;3271199.03;82014.40;7660080.02;281930.17;0.00;1373938.09;0.00;585466.24;143073.44;0.00;554124.96;0.00;0.00;0.00;87732.51;0.00;129085.39;9120.31;306264.06;0.00;1.04;1.10;1.52;1.13;1.09
PANCAS - ES;23273.0;1443259.85;223061.12;0.00;3026083.42;0.00;0.00;0.00;1807503.82;1550804.25;9990011.35;0.00;15163170.47;738546.33;0.00;6687807.42;0.00;663045.07;0.00;0.00;1991661.69;0.00;0.00;0.00;0.00;91001.18;0.00;0.00;1029904.21;0.00;1.15;1.09;1.17;1.28;1.23
PEIXE-BOI - PA;7881.0;570952.05;0.00;0.00;4103828.85;0.00;38425.00;0.00;376818.62;0.00;3300420.31;0.00;7250008.19;2133.00;0.00;980811.06;0.00;269446.66;16111.60;0.00;9050.63;0.00;0.00;0.00;0.00;96133.30;150841.63;16996.00;86328.19;0.00;1.06;1.04;1.12;1.03;1.06
ARAPONGA - MG;8478.0;618152.20;0.00;0.00;2341433.22;0.00;0.00;0.00;852425.32;552057.20;4363961.91;0.00;3182552.37;401945.09;0.00;1205710.06;171638.43;7958.95;316878.27;0.00;638869.85;0.00;0.00;7200.00;12075.11;0.00;712064.53;129165.69;269233.61;156631.51;1.04;1.07;1.26;1.01;1.05
SÃO BENTO DO SAPUCAÍ - SP;10848.0;0.00;0.00;0.00;3966420.89;980.00;0.00;0.00;1088857.21;0.00;5517244.04;0.00;8493272.15;220631.36;0.00;4137164.95;0.00;0.00;0.00;0.00;840934.63;0.00;0.00;3500705.34;0.00;0.00;788460.19;305128.98;0.00;0.00;1.60;1.77;1.88;1.20;1.33
ALTA FLORESTA D'OESTE - RO;25652.0;1836000.00;0.00;0.00;8498269.97;0.00;0.00;0.00;410305.59;0.00;13740513.47;0.00;15757445.99;0.00;0.00;2760732.20;0.00;124701.12;0.00;0.00;1808667.03;0.00;0.00;0.00;0.00;0.00;2237956.35;101326.65;301514.17;0.00;1.12;1.04;1.08;1.08;1.13
CRAVOLÂNDIA - BA;5552.0;446466.82;181013.04;0.00;2289658.43;0.00;42735.00;0.00;606119.68;0.00;2705586.08;0.00;5672749.83;0.00;0.00;1568658.33;0.00;0.00;0.00;0.00;37030.00;0.00;0.00;315000.00;0.00;3035.90;73587.24;0.00;0.00;0.00;1.01;1.11;1.46;1.26;1.18
SÃO LEOPOLDO - RS;226988.0;8775499.79;3415818.31;0.00;83891479.97;0.00;14721332.96;0.00;15371780.51;28436434.48;174826543.41;413038.31;138437134.52;1495565.63;1125941.75;21575663.20;2857973.98;40912088.88;27195347.57;0.00;0.00;0.00;2801828.07;384713.97;182684.68;0.00;194727.13;301900.33;17989601.78;22137875.20;1.22;1.20;1.32;1.16;1.15
GUARANI DAS MISSÕES - RS;8187.0;452585.64;0.00;0.00;2591251.96;0.00;0.00;0.00;831883.95;2449194.65;4262009.88;0.00;4967109.10;81094.19;0.00;821110.13;673.00;65469.64;1470.00;0.00;743466.56;0.00;0.00;5250.00;0.00;0.00;798537.72;25124.97;822523.51;2312082.84;1.36;1.17;1.16;0.97;1.00
PRESIDENTE LUCENA - RS;2679.0;272321.15;0.00;0.00;1095679.25;0.00;1120.00;0.00;388291.92;106183.40;3074791.68;8460.00;4306248.53;128173.86;0.00;975191.03;0.00;538545.44;18807.72;0.00;564390.04;0.00;0.00;9400.00;0.00;0.00;768931.14;131178.60;111957.60;462984.78;1.09;1.20;1.43;0.99;1.04
RIO VERDE DE MATO GROSSO - MS;19407.0;2046736.18;100759.34;0.00;5979925.32;0.00;0.00;0.00;3223587.68;1348477.08;14202330.85;0.00;10260277.00;15088.93;0.00;4516450.39;12000.00;0.00;16822.78;0.00;1200.00;0.00;0.00;0.00;0.00;885286.11;109400.00;16539.32;1082983.47;1755463.93;1.11;1.07;1.17;1.11;1.16
SERICITA - MG;7391.0;638189.33;0.00;0.00;1853112.07;0.00;25774.49;0.00;363296.84;73515.00;4940474.43;0.00;4005137.94;536036.21;61096.84;732178.23;36802.20;0.00;700606.77;0.00;38445.12;0.00;0.00;0.00;3142.88;100630.77;1263670.13;93691.29;519566.37;0.00;1.12;1.13;1.29;1.20;1.19
BARRA DE GUABIRABA - PE;13808.0;797194.60;0.00;0.00;5470121.22;0.00;0.00;0.00;802734.32;1944941.81;6058233.10;0.00;7776334.56;901956.00;0.00;1676857.34;0.00;219035.61;0.00;0.00;25766.74;0.00;0.00;0.00;0.00;0.00;63411.40;6023.00;990063.00;0.00;1.13;1.07;1.12;0.98;0.99
ANDARAÍ - BA;13716.0;904788.65;0.00;0.00;2741300.69;0.00;0.00;0.00;1257512.50;0.00;7157896.07;0.00;13366183.81;669589.67;0.00;3619907.06;0.00;92801.51;86721.32;0.00;96224.34;0.00;0.00;604637.74;0.00;0.00;0.00;113232.95;249984.05;0.00;0.99;1.06;1.31;1.05;1.05
MINEIROS DO TIETÊ - SP;12642.0;549775.64;0.00;0.00;3109824.05;0.00;0.00;0.00;2049498.73;0.00;7052372.43;0.00;8729830.18;104716.55;0.00;2797072.82;5318808.47;0.00;202812.10;0.00;1303.20;0.00;0.00;300881.33;0.00;0.00;677935.56;226114.09;1077666.56;0.00;2.14;2.27;1.84;1.08;1.12
ARATIBA - RS;6663.0;1062009.88;0.00;0.00;10069144.10;0.00;41646.72;0.00;969796.26;1164596.94;7241419.87;0.00;6289311.14;458121.88;0.00;1629080.01;132814.78;230496.76;61468.09;2470.00;1879545.82;0.00;1435824.23;103251.19;42962.59;68020.24;3323804.81;330815.80;236743.20;1690315.24;1.35;1.22;1.78;1.05;1.23
SÃO SEPÉ - RS;24448.0;1682256.00;0.00;0.00;6411644.00;0.00;0.00;0.00;1258744.00;12299818.00;11756928.00;0.00;13108710.00;652923.00;0.00;2359930.00;0.00;807692.00;83256.00;0.00;2157344.00;0.00;20242.00;10000.00;0.00;346860.00;7987.00;580697.00;881013.00;0.00;1.84;1.74;1.63;1.05;1.07
ICONHA - ES;13669.0;1400114.73;181588.66;0.00;6416165.11;0.00;0.00;0.00;2480325.07;1723103.44;8192745.67;0.00;9837434.15;253104.24;0.00;6210682.87;0.00;1446241.28;335275.32;0.00;919759.45;0.00;0.00;0.00;0.00;347082.96;0.00;263236.02;0.00;0.00;1.22;1.11;1.36;1.17;1.13
RODELAS - BA;8763.0;732113.66;56000.00;0.00;2988331.55;0.00;39700.96;0.00;589598.66;0.00;4129943.34;0.00;7341922.15;435679.00;0.00;2268493.52;0.00;168280.50;19288.56;0.00;0.00;0.00;0.00;0.00;0.00;163031.79;0.00;130286.30;0.00;0.00;1.01;1.04;1.16;1.19;1.18
PEDRO LEOPOLDO - MG;62473.0;4809388.33;0.00;21430.09;25164223.42;0.00;776070.13;0.00;3409825.24;0.00;42006994.57;0.00;37284414.96;1040342.78;0.00;8339295.94;0.00;6852440.80;437870.59;0.00;327940.72;0.00;0.00;0.00;701335.74;0.00;0.00;558666.98;1777125.80;0.00;1.11;1.04;1.44;1.31;1.26
VALENTIM GENTIL - SP;12217.0;868724.20;0.00;0.00;8253513.89;0.00;0.00;0.00;968131.74;339355.20;7991212.89;0.00;8251961.79;749363.84;0.00;2488795.28;0.00;0.00;99217.20;0.00;4431.42;0.00;0.00;85419.47;0.00;503040.57;633416.96;158169.02;412685.83;0.00;1.14;1.05;1.12;1.04;1.06
VENÂNCIO AIRES - RS;69521.0;3704839.04;739917.85;0.00;10792431.57;0.00;279637.86;0.00;3293010.85;10487464.27;47542241.67;25079.09;29904302.03;807139.62;0.00;31522612.43;509970.72;0.00;4359688.34;0.00;5746426.15;0.00;1071707.34;627393.29;0.00;0.00;0.00;1635953.55;12031232.61;12713997.82;1.39;1.39;1.37;1.13;1.13
PIEDADE - SP;54523.0;0.00;0.00;0.00;25433206.26;0.00;1034351.82;0.00;2512102.65;2529537.34;22626804.16;0.00;37311517.55;966479.60;0.00;289728.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;454173.24;0.00;0.00;0.00;549068.14;474402.40;0.00;1.23;1.05;1.20;1.36;1.31
CARINHANHA - BA;29864.0;1490855.23;499270.65;0.00;4390663.37;0.00;66853.91;0.00;1229613.47;208806.69;11231498.02;327162.29;29540699.78;1163891.86;0.00;3244605.09;202915.72;37984.57;26180.46;0.00;174056.17;0.00;0.00;39051.04;0.00;94833.35;80985.84;76052.51;1953337.44;0.00;1.05;1.05;1.43;1.04;1.06
RENASCENÇA - PR;6986.0;0.00;0.00;0.00;2656964.53;0.00;0.00;0.00;750107.99;0.00;4186225.68;0.00;4207964.91;312305.21;0.00;1292103.66;0.00;64007.69;73144.99;0.00;970248.32;0.00;117850.37;0.00;0.00;289777.56;3495161.53;139667.14;178985.13;752749.02;1.17;1.13;1.41;1.13;1.10
CURRAL VELHO - PB;2526.0;518600.60;0.00;0.00;1318791.47;0.00;0.00;0.00;892481.90;228979.03;2824124.73;85199.78;2776059.41;142475.07;0.00;999154.32;0.00;0.00;128153.10;0.00;270294.09;0.00;0.00;0.00;0.00;11563.06;26251.00;3986.00;50066.09;0.00;0.97;1.10;1.32;1.08;1.09
BONITO DE SANTA FÉ - PB;11549.0;719098.15;0.00;0.00;3386546.00;0.00;0.00;0.00;664784.45;0.00;5796402.26;0.00;6639060.62;84988.27;0.00;1599379.14;0.00;0.00;0.00;0.00;198307.80;0.00;0.00;142812.00;37360.47;0.00;92101.54;37956.50;1953014.75;0.00;1.14;1.15;1.20;1.12;1.12
SANTA FILOMENA - PI;6152.0;715613.68;0.00;0.00;4057954.11;0.00;0.00;0.00;917976.96;0.00;3156564.18;0.00;5312431.12;108856.36;0.00;843203.36;0.00;537516.58;98306.96;0.00;5444.00;0.00;0.00;0.00;0.00;0.00;34700.00;27994.70;236029.50;0.00;1.08;1.07;1.15;0.99;0.99
PIRAPÓ - RS;2707.0;528630.94;0.00;0.00;2389345.85;0.00;0.00;0.00;432770.47;601742.63;3173485.20;0.00;2148193.01;63969.20;0.00;14964.72;218960.87;250005.88;97519.16;0.00;611265.85;0.00;0.00;0.00;0.00;23202.50;422796.06;38094.11;130346.05;589445.83;1.10;1.20;1.39;1.03;1.08
ALVARÃES - AM;15357.0;0.00;0.00;0.00;3388671.81;0.00;0.00;0.00;1051552.35;0.00;4797434.80;0.00;12419477.28;36537.50;0.00;3025638.53;0.00;0.00;0.00;0.00;209958.88;0.00;0.00;0.00;0.00;1214248.37;261628.41;17730.00;1013004.36;0.00;1.06;1.10;1.48;1.06;1.04
SÃO JOSÉ DO NORTE - RS;26853.0;1887374.65;0.00;0.00;7636494.50;0.00;0.00;0.00;1631775.50;0.00;16608987.33;0.00;16001133.31;713395.84;0.00;8130429.91;0.00;150691.40;344556.78;0.00;1006689.13;0.00;0.00;768243.74;0.00;0.00;472381.13;0.00;1473473.33;0.00;1.07;1.02;1.18;1.13;1.25
JAÚ - SP;141703.0;4533714.73;0.00;812137.70;39485085.68;0.00;561751.68;0.00;7188602.73;7986009.16;91736690.72;0.00;87252529.28;744638.50;0.00;36442666.05;929396.43;39118467.13;778469.53;0.00;145786.98;0.00;0.00;2284943.64;0.00;0.00;0.00;5496460.94;13211328.11;13281.62;1.18;1.14;1.21;1.13;1.12
PEDRAS ALTAS - RS;2210.0;676168.88;0.00;0.00;3476572.44;0.00;0.00;0.00;281996.13;0.00;3178809.49;0.00;4129397.92;82839.24;0.00;373941.14;0.00;0.00;22031.60;0.00;838126.84;0.00;0.00;181.35;66.80;0.00;267093.80;138214.46;523748.74;837627.50;1.11;1.34;1.53;1.17;1.14
MOGI DAS CRUZES - SP;419839.0;0.00;0.00;0.00;57027223.70;0.00;15192469.00;0.00;21699195.55;14879344.99;202413746.26;2783227.80;276229485.34;5989618.48;0.00;138738380.76;3433273.63;25631364.42;2211568.37;0.00;901981.82;0.00;1936939.13;204009.71;0.00;0.00;0.00;14560194.00;30665386.81;70744065.09;1.41;1.33;1.31;1.19;1.22
LEÓPOLIS - PR;4182.0;0.00;117560.70;0.00;2636867.40;0.00;0.00;0.00;484525.33;0.00;2843210.52;0.00;3294413.65;35060.47;0.00;1493632.34;0.00;0.00;0.00;0.00;305794.56;0.00;0.00;30606.90;0.00;115609.05;943947.48;40570.83;161738.15;0.00;1.07;1.11;1.34;1.12;1.10
NICOLAU VERGUEIRO - RS;1760.0;381049.18;0.00;0.00;2108637.84;0.00;6000.00;0.00;455690.41;70649.33;2356802.87;38763.89;1924807.55;71426.67;0.00;92738.88;0.00;572836.83;26308.58;52875.00;738717.77;0.00;9403.27;0.00;13685.51;103657.92;2105696.97;23423.78;553366.75;0.00;1.06;1.21;2.05;1.13;1.29
MORRINHOS DO SUL - RS;3209.0;458479.51;0.00;0.00;2032171.95;0.00;18000.00;0.00;486176.06;590039.72;2483297.60;0.00;4855405.13;40150.27;0.00;162242.85;0.00;212929.13;59094.74;0.00;337855.88;397500.00;0.00;0.00;0.00;123566.44;343192.40;40754.00;228075.93;639410.80;1.08;1.33;8.41;1.15;2.14
FORTIM - CE;15781.0;1258342.46;0.00;0.00;3289962.33;0.00;0.00;0.00;1114200.25;1061958.88;6614889.08;0.00;11805867.58;5000.00;0.00;2613965.53;3870.58;0.00;202784.67;0.00;359811.24;0.00;0.00;1257874.66;0.00;0.00;236346.30;159828.95;886383.81;1348518.95;1.06;1.18;1.33;1.03;1.04
PIO IX - PI;18023.0;1053025.43;0.00;0.00;3699829.98;0.00;0.00;0.00;846156.70;0.00;8422114.60;603103.53;13407276.80;242065.03;0.00;1345734.61;0.00;321384.94;50880.00;0.00;382202.77;0.00;0.00;900.00;23551.52;117311.40;2605.00;23068.40;177815.42;0.00;0.99;0.99;1.36;1.13;1.10
LIZARDA - TO;3801.0;452275.52;0.00;0.00;1256855.28;0.00;1212.10;0.00;711832.90;409720.53;2143084.99;73843.27;2213131.56;246212.03;0.00;262370.43;0.00;269252.82;323306.05;0.00;446705.63;0.00;0.00;0.00;0.00;0.00;212681.93;90755.10;0.00;0.00;1.02;1.24;1.34;1.06;1.08
CHARRUA - RS;3518.0;346524.51;0.00;0.00;1522509.15;0.00;0.00;0.00;284560.27;0.00;2071705.93;0.00;1957738.84;43522.86;0.00;912568.88;23009.10;338508.14;78517.43;0.00;858981.32;0.00;0.00;75636.85;2058.70;0.00;1357213.94;10755.04;344266.78;0.00;1.03;1.18;1.26;1.02;1.07
MATA DE SÃO JOÃO - BA;45194.0;5970195.82;0.00;0.00;22420455.40;0.00;0.00;0.00;3445502.49;0.00;26459404.07;0.00;57891022.47;6220764.64;0.00;17239322.49;0.00;353222.40;209620.62;0.00;447615.75;0.00;0.00;135705.42;0.00;0.00;0.00;2724789.52;4364622.98;0.00;1.13;1.23;1.47;1.08;1.12
MONTE ALEGRE DO PIAUÍ - PI;10441.0;706510.59;0.00;140441.65;2895187.20;0.00;0.00;0.00;569629.53;0.00;4366045.76;0.00;10599165.44;79048.65;0.00;272515.58;0.00;748894.47;0.00;0.00;49020.29;0.00;0.00;0.00;23979.15;0.00;52151.53;2840.00;451514.98;0.00;1.05;1.03;1.43;1.20;1.15
CORONEL VIVIDA - PR;21939.0;0.00;0.00;0.00;4542578.37;0.00;224643.54;0.00;2037135.56;0.00;16861770.90;0.00;18962535.58;82099.04;0.00;3460362.81;60112.05;14991.80;220539.67;0.00;3500708.59;0.00;350485.42;0.00;0.00;0.00;3671267.55;750776.90;1039598.19;0.00;1.20;1.16;1.27;1.09;1.08
SÃO BENTINHO - PB;4404.0;532654.32;61202.63;0.00;1772229.83;0.00;0.00;0.00;467779.10;0.00;2324384.43;85710.54;3782305.62;109733.45;0.00;993694.53;0.00;0.00;19130.00;0.00;277523.44;0.00;0.00;0.00;0.00;0.00;830.00;0.00;122918.06;0.00;0.98;1.04;1.37;1.23;1.16
BANZAÊ - BA;12560.0;754971.46;0.00;0.00;2645367.62;0.00;0.00;0.00;803498.79;0.00;4048610.03;0.00;11237639.04;620776.01;0.00;2140874.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2658.09;31465.72;398783.60;0.00;1.03;1.00;1.00;1.07;1.07
CHÃ GRANDE - PE;21142.0;1290320.24;0.00;0.00;4492940.51;843.00;17850.00;0.00;2259799.10;3662444.58;10615694.97;0.00;19533267.58;609737.40;0.00;5245961.56;0.00;455913.22;40683.00;0.00;1291423.55;0.00;0.00;30490.00;0.00;13792.40;149381.60;1137038.21;518801.84;0.00;1.12;1.15;1.09;1.03;1.20
CASINHAS - PE;14189.0;978856.41;0.00;0.00;4589490.98;0.00;0.00;0.00;2073305.95;1001681.60;9635436.64;0.00;16514935.67;787022.59;0.00;1655577.45;0.00;0.00;17274.96;0.00;227465.95;0.00;0.00;0.00;0.00;214679.28;1503.00;499050.40;358863.99;0.00;1.00;1.10;1.21;1.03;1.04
SANTA IZABEL DO OESTE - PR;14039.0;0.00;0.00;0.00;3208714.51;0.00;0.00;0.00;1212377.70;0.00;9221741.50;0.00;8771095.32;0.00;0.00;3966959.96;4217.00;0.00;378103.95;0.00;1641377.15;0.00;260627.27;0.00;0.00;0.00;7125844.74;388675.92;875221.28;0.00;1.37;1.15;1.21;1.11;1.15
