#Cidade;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
314675;91.96;16.86;0.00;277.22;0.00;0.00;0.00;76.27;74.88;675.16;0.00;517.79;31.14;0.00;151.58;0.30;0.00;0.00;0.00;21.87;0.00;0.00;0.38;0.00;0.00;180.31;10.88;8.08;0.00
431085;0.00;0.00;0.00;352.05;0.00;0.00;0.00;147.37;16.66;997.16;0.00;799.74;0.00;0.00;0.00;30.41;3.62;9.02;0.00;175.19;0.00;0.00;7.90;0.00;0.00;312.45;9.66;57.27;0.00
520860;66.10;0.00;0.00;258.57;0.00;2.14;0.00;94.61;117.98;525.49;16.26;552.24;10.01;0.00;351.92;0.00;122.36;2.58;0.00;4.88;0.00;0.00;5.89;0.00;0.00;0.99;51.75;0.00;0.00
314500;122.13;0.00;17.83;213.48;0.00;19.20;0.00;116.36;176.46;599.85;18.02;874.28;96.32;3.67;372.84;0.00;144.95;0.00;0.00;25.97;0.00;0.00;30.57;0.00;0.00;85.88;34.65;80.28;181.54
250939;75.10;10.12;0.00;463.61;0.00;0.00;0.00;138.68;0.00;385.91;0.00;895.93;0.00;0.00;78.16;0.00;0.00;10.42;0.00;38.25;0.00;0.00;7.32;0.00;0.00;5.83;0.05;28.66;0.00
421895;175.52;0.00;0.00;602.87;0.00;0.00;0.00;179.89;0.00;810.89;0.00;784.59;52.75;0.00;595.03;98.69;3.48;26.32;0.00;331.92;0.00;17.64;290.82;0.00;24.22;109.49;168.58;79.75;0.00
420650;45.63;0.00;0.00;228.91;0.00;9.34;0.00;93.88;0.00;728.30;0.00;743.82;16.38;0.00;146.66;1.37;109.15;11.53;0.00;36.16;0.00;0.07;18.70;0.00;0.00;222.05;37.55;102.01;0.00
250730;62.75;0.00;0.00;247.72;0.00;0.00;0.00;51.22;74.77;368.40;0.00;733.33;45.74;0.00;122.77;0.00;0.00;19.69;0.00;30.33;0.00;0.00;0.00;9.77;0.00;22.44;9.00;0.00;33.56
313020;65.86;0.17;0.00;233.17;0.00;6.51;0.00;55.48;120.43;467.71;0.00;459.47;0.87;0.00;141.78;0.00;33.67;46.11;0.00;1.11;0.00;0.50;0.00;4.64;0.00;73.14;13.52;18.12;124.96
510515;80.82;0.00;0.00;259.01;0.00;0.00;0.00;77.90;40.45;651.32;0.00;435.84;6.28;2.13;69.16;0.00;99.45;3.27;1.33;5.47;0.00;0.00;5.84;0.00;0.00;129.86;8.51;27.29;80.54
420768;116.87;0.00;0.00;370.50;0.00;10.10;0.00;176.31;0.00;583.12;0.00;825.13;7.11;0.00;395.70;0.00;1.22;0.53;0.00;169.77;0.00;22.55;0.00;0.00;0.00;290.30;9.19;92.88;0.00
355190;79.76;0.00;0.00;232.67;0.00;0.00;0.00;144.08;140.64;522.79;0.00;903.92;40.98;0.00;167.12;0.00;76.19;0.00;0.00;6.65;0.00;0.00;0.00;0.00;0.00;73.73;8.67;54.33;196.78
261280;77.39;0.00;0.00;269.62;0.00;0.00;0.00;107.39;151.96;454.20;0.00;638.79;41.32;0.00;161.72;1.24;0.00;0.00;0.00;47.82;0.00;0.00;0.00;0.00;0.00;0.00;1.42;0.00;0.00
510385;166.74;0.00;0.00;1058.00;0.00;0.00;0.00;161.23;25.64;809.17;38.04;906.88;27.90;26.59;134.93;7.08;35.43;0.00;0.00;78.54;0.00;0.00;2.90;0.00;0.00;110.37;13.29;25.13;59.70
293105;58.11;31.47;0.00;204.63;0.00;0.00;0.00;42.69;13.70;425.44;0.00;786.70;35.94;0.00;176.00;0.00;24.05;0.00;0.00;11.57;0.00;0.00;0.00;0.00;0.00;11.40;32.04;18.40;0.00
352760;149.34;12.23;0.00;448.70;0.00;0.00;0.00;216.65;16.64;1066.05;33.34;1284.33;61.53;0.00;477.75;0.00;74.49;34.71;0.00;40.58;0.00;19.06;0.00;0.00;21.20;0.00;84.86;39.45;0.00
352410;79.89;0.00;0.00;298.58;0.00;3.12;0.00;105.95;203.16;639.86;0.00;789.27;19.47;0.00;202.53;0.00;191.42;6.62;0.00;0.02;0.00;2.68;7.93;0.00;0.00;22.51;20.08;43.93;318.67
240530;53.02;0.00;0.00;235.70;0.00;0.00;0.00;68.02;9.46;467.32;0.00;779.54;2.60;0.00;166.61;0.00;5.94;0.00;0.00;29.96;0.00;0.00;5.71;0.00;0.00;0.00;0.00;0.00;57.67
521450;100.80;0.00;0.00;818.14;0.01;31.62;0.00;56.19;213.57;709.90;26.77;731.34;7.46;0.00;217.49;0.00;0.00;40.18;0.00;0.41;0.00;1.34;0.00;0.00;0.00;9.58;0.50;0.00;0.00
170330;98.93;0.00;0.00;607.10;0.00;0.00;0.00;43.06;0.00;426.07;0.00;753.04;5.79;0.00;0.00;0.00;21.00;28.36;0.00;0.39;0.00;0.00;0.00;0.00;0.00;0.00;0.59;0.00;0.00
355480;14.24;0.00;0.00;516.41;0.00;0.00;0.00;53.69;19.59;541.21;0.00;815.23;57.89;0.00;100.79;0.00;4.50;0.00;0.00;16.69;0.00;0.00;37.53;0.00;27.10;24.04;59.15;70.06;0.00
310120;112.64;4.08;0.00;317.61;0.00;0.00;0.00;50.90;0.00;519.88;0.00;595.41;15.03;0.00;102.29;0.00;40.17;34.42;0.00;14.08;0.00;0.00;69.32;0.00;3.25;94.49;23.15;26.16;0.00
421440;107.55;0.00;0.00;247.80;0.00;39.44;0.00;260.01;142.98;596.63;0.00;924.30;12.92;0.00;117.27;15.92;35.50;0.00;0.00;155.35;0.00;14.30;0.00;0.37;0.00;560.39;43.36;105.89;115.09
241025;114.07;0.00;0.00;529.66;0.00;0.00;0.00;170.99;0.00;835.19;0.00;894.46;0.00;0.00;290.52;0.00;2.59;9.90;0.00;101.27;0.00;0.00;0.00;0.00;0.00;0.00;21.05;38.86;0.00
420640;82.64;0.00;0.00;225.00;5.98;24.16;0.00;90.42;24.73;554.17;0.00;592.36;18.99;0.00;310.99;3.56;13.25;79.27;0.00;211.79;0.00;19.45;2.64;0.00;19.89;171.67;63.94;42.20;0.00
316840;60.89;31.97;0.00;326.10;0.00;2.66;0.00;81.66;66.13;427.84;13.95;273.67;13.44;0.00;63.22;0.00;3.85;14.27;0.00;9.05;0.00;0.00;0.31;0.00;14.48;108.51;2.65;6.24;0.00
291845;66.14;0.00;7.77;464.00;0.00;0.00;0.00;85.77;0.00;476.10;0.00;786.96;61.97;8.62;118.29;0.00;0.25;0.00;0.00;0.23;0.00;0.00;0.00;0.00;0.00;0.00;14.42;14.21;0.00
313650;62.31;0.00;13.69;183.04;0.00;2.68;0.00;56.85;61.42;406.33;0.00;420.30;32.37;0.00;167.06;0.00;2.75;15.47;0.00;46.30;0.00;0.00;45.49;0.09;0.00;40.82;13.96;28.10;0.00
510706;142.97;0.00;0.06;481.80;0.00;4.54;0.00;120.05;16.01;891.38;36.89;879.95;26.51;0.00;259.33;0.00;92.25;0.00;0.00;68.97;0.00;0.00;0.00;0.00;37.74;480.22;64.90;3.73;0.00
240760;0.00;25.72;0.00;1026.13;0.00;0.00;0.00;12.97;0.00;680.71;0.00;537.76;23.04;0.00;56.76;0.00;110.18;0.00;0.00;52.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
270240;79.28;3.80;0.00;338.98;0.00;0.00;0.00;70.01;0.00;388.69;0.00;622.34;42.28;0.00;208.29;0.00;17.66;5.70;0.00;38.83;0.00;0.00;9.49;0.00;0.00;15.98;0.00;16.19;0.00
353940;73.98;0.00;0.00;272.98;0.00;0.00;0.00;144.58;180.83;778.20;0.00;591.62;36.42;0.00;419.91;0.00;0.00;0.00;0.00;10.63;0.00;0.00;0.00;0.00;0.00;0.00;26.31;75.33;0.00
292895;62.74;0.00;0.00;213.62;0.00;6.57;0.00;113.48;0.00;427.89;0.00;578.31;18.92;0.00;288.30;10.50;95.75;1.28;0.00;11.98;0.00;0.00;0.00;0.00;17.19;20.37;36.03;0.00;0.00
411410;43.14;0.00;0.00;437.78;0.12;0.00;0.00;78.00;163.32;393.15;0.00;534.38;4.51;0.00;108.29;0.00;2.36;0.00;0.00;46.14;0.00;8.19;0.00;0.00;0.00;73.63;42.42;61.45;112.27
290330;0.00;5.89;0.00;629.79;0.00;0.00;0.00;56.05;0.00;672.54;0.00;1064.42;0.15;0.00;8.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;39.05;0.00
270540;82.20;0.00;0.00;644.31;0.00;0.00;0.00;62.83;127.61;463.20;0.00;1116.43;16.39;0.00;8.77;0.00;0.00;0.00;0.00;11.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.40;140.41
310150;68.88;0.00;0.00;320.55;0.00;1.48;0.00;58.47;101.26;446.89;0.18;385.19;13.47;0.00;184.68;0.14;78.72;0.00;0.00;2.28;0.00;0.00;0.23;0.48;0.00;3.62;17.95;11.91;94.73
500790;87.73;4.41;0.00;336.55;0.00;0.00;0.00;71.60;53.58;553.91;0.00;819.85;3.01;0.00;96.26;1.30;0.00;2.84;0.00;9.46;0.00;0.00;0.04;0.00;24.18;34.91;7.34;52.19;128.03
522170;77.46;0.22;0.00;244.14;0.00;29.42;0.00;165.33;205.04;438.82;10.06;465.46;1.13;0.00;165.32;5.54;17.90;9.26;0.00;30.53;0.00;1.25;0.00;9.26;40.89;79.41;31.05;28.74;0.00
251610;67.40;0.00;0.00;168.46;0.00;0.00;0.00;99.90;82.45;618.77;0.00;588.26;10.00;0.00;72.59;0.00;0.69;9.26;0.00;59.96;0.00;0.00;0.00;0.00;12.07;9.91;5.78;43.41;0.00
520660;206.65;3.48;0.00;493.91;0.00;22.07;0.00;220.36;624.52;775.62;27.19;607.57;3.73;0.00;479.46;0.00;0.00;4.01;0.00;38.25;0.00;0.00;0.00;0.05;0.00;115.45;51.02;97.26;0.00
220300;52.78;0.00;0.00;299.67;0.00;0.00;0.00;65.98;6.32;517.79;0.00;743.46;4.87;0.00;12.39;0.00;42.00;0.00;0.00;19.25;0.00;0.00;0.00;0.00;0.00;21.74;83.12;0.00;0.00
313930;64.00;4.64;0.00;197.67;1.17;0.66;0.00;74.20;0.00;440.45;0.00;678.89;41.80;0.00;189.68;1.87;1.10;0.00;0.00;26.32;0.00;0.00;0.00;0.72;0.00;12.56;13.56;78.56;0.00
130165;0.00;0.00;0.00;600.55;0.00;0.00;0.00;25.97;0.00;399.64;0.00;758.49;13.58;0.00;0.00;0.00;14.47;0.67;0.00;136.50;0.00;0.00;0.00;0.00;1.13;33.14;11.37;0.00;0.00
290140;69.19;0.00;0.00;169.72;0.00;0.49;0.00;63.52;0.00;319.21;0.00;944.70;19.85;0.00;177.86;0.00;0.00;12.23;0.00;38.17;0.00;0.00;0.00;0.00;0.41;10.73;25.38;31.72;0.00
421630;31.69;0.00;0.00;127.11;0.00;18.69;0.00;60.19;90.26;403.56;0.00;592.06;3.11;0.00;279.24;0.58;137.19;0.31;0.00;21.47;0.00;0.00;22.84;0.00;0.00;0.00;26.04;71.87;68.00
315060;97.06;12.32;0.00;243.22;0.00;7.07;0.00;53.11;185.42;529.20;0.00;516.12;10.85;0.00;213.96;0.00;64.93;0.34;0.00;52.59;0.00;0.00;0.00;0.78;0.00;63.61;4.20;31.40;150.02
