#Cidade;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
320200;3.836260802858487;5.86;0.00;0.00;6.34;0.00;0.00;0.00;6.03;6.07;6.57;0.00;6.67;6.07;0.00;6.45;0.00;0.00;0.00;0.00;5.78;0.00;0.00;0.00;0.00;5.20;0.00;4.97;5.68;5.91
353830;3.564902672529205;5.79;0.00;0.00;6.40;0.00;0.00;0.00;6.01;5.45;6.57;0.00;6.57;4.73;0.00;6.48;0.00;0.00;4.30;0.00;5.49;0.00;0.00;0.00;0.00;0.00;6.38;5.44;5.25;0.00
210550;4.368063635506243;0.00;3.11;0.00;6.54;0.00;3.26;0.00;6.25;5.20;7.06;3.56;7.28;5.61;0.00;6.36;0.00;5.69;5.89;0.00;0.00;0.00;0.00;2.11;5.20;5.65;6.20;4.46;5.85;0.00
353970;3.532244643626582;5.88;0.00;0.00;6.48;0.00;0.00;0.00;6.05;0.00;6.63;0.00;6.68;3.68;0.00;6.29;0.00;0.00;0.00;0.00;6.01;0.00;0.00;0.00;0.00;0.00;0.00;4.52;5.56;0.00
352780;3.65667304588485;5.77;0.00;4.85;6.34;0.00;0.00;0.00;5.90;0.00;6.56;5.35;6.66;4.88;0.00;6.64;0.00;0.00;4.63;0.00;5.44;0.00;0.00;0.00;0.00;0.00;5.30;5.38;0.00;0.00
420750;4.792167479642008;6.50;5.17;0.00;6.99;0.00;6.55;0.00;6.86;6.87;7.37;0.00;7.63;6.26;4.94;7.28;4.33;6.87;0.00;0.00;6.29;0.00;5.75;5.95;0.00;0.00;0.00;6.39;6.62;6.86
313690;4.000347296685364;5.84;0.00;0.00;6.34;0.00;0.00;0.00;5.69;5.88;6.77;0.00;6.70;5.25;0.00;6.10;0.00;0.00;5.26;0.00;4.89;0.00;0.00;6.26;0.00;5.36;5.99;5.00;5.90;5.91
351520;3.9273703630390235;0.00;0.00;0.00;6.57;0.00;0.00;0.00;5.23;0.00;0.00;5.89;6.76;5.48;0.00;6.49;0.00;0.00;0.00;0.00;5.89;0.00;0.00;0.00;0.00;0.00;0.00;6.06;0.00;5.97
210780;4.531708776810456;0.00;5.37;0.00;6.86;0.00;5.06;0.00;6.45;6.22;7.14;0.00;7.44;5.73;4.73;6.28;0.00;5.79;4.99;0.00;5.43;0.00;0.00;0.00;0.00;0.00;4.82;5.45;0.00;0.00
293010;4.907465106765856;6.51;0.00;0.00;7.08;0.00;0.00;0.00;6.49;0.00;7.52;0.00;7.58;6.29;0.00;6.98;5.38;0.00;3.50;0.00;4.62;0.00;4.51;0.00;0.00;0.00;0.00;4.79;6.63;0.00
431349;3.6180480967120925;5.57;0.00;0.00;6.38;0.00;0.00;0.00;5.82;5.69;6.42;0.00;6.38;5.06;0.00;5.23;0.00;5.20;5.07;0.00;5.91;0.00;5.31;0.00;0.00;0.00;6.01;5.55;5.47;5.68
292105;4.086964573877051;5.90;0.00;0.00;6.40;0.00;4.55;0.00;5.79;5.06;6.71;0.00;7.00;5.09;0.00;6.47;0.00;5.29;0.00;0.00;4.84;0.00;0.00;0.00;4.62;4.65;4.73;5.54;5.26;0.00
354660;4.492941888981732;6.00;4.54;0.00;7.23;0.00;6.09;0.00;6.57;6.75;7.37;0.00;7.55;5.85;5.25;7.01;0.00;6.64;5.69;0.00;6.06;0.00;0.00;6.52;0.00;0.00;5.97;5.94;6.50;6.66
314800;5.1691275487770785;6.89;0.00;0.00;7.48;0.00;5.81;0.00;7.14;7.26;8.07;4.93;7.74;6.57;5.12;7.13;6.04;7.13;5.94;0.00;6.18;0.00;5.72;5.82;4.83;0.00;6.95;6.28;6.42;7.40
412610;3.750199727829182;5.62;5.03;0.00;6.46;4.48;0.00;0.00;5.84;6.19;6.65;0.00;6.52;5.14;0.00;6.21;0.00;0.00;4.81;0.00;5.68;0.00;5.46;0.00;0.00;5.46;4.06;5.56;6.01;5.94
220194;3.8033888249836134;5.59;0.00;0.00;6.25;0.00;0.00;0.00;5.66;4.52;6.44;0.00;6.75;5.01;0.00;5.94;0.00;5.25;4.13;0.00;4.81;0.00;0.00;4.36;4.20;0.00;4.81;4.92;5.32;0.00
313570;3.725094521081469;5.81;0.00;0.00;6.24;0.00;0.00;0.00;5.50;6.00;6.64;0.00;6.52;5.65;0.00;6.10;0.00;5.54;4.78;0.00;5.52;0.00;2.30;0.00;0.00;0.00;5.61;5.38;5.53;0.00
412035;3.7481880270062002;0.00;0.00;0.00;6.38;0.00;0.00;0.00;5.83;5.84;6.48;0.00;6.57;4.37;0.00;6.01;0.00;5.24;4.13;0.00;5.29;0.00;4.11;0.00;0.00;0.00;6.32;5.04;4.62;0.00
150660;4.376394442037266;6.01;0.00;0.00;6.79;0.00;4.23;0.00;6.13;4.82;6.94;0.00;7.07;5.66;0.00;6.28;0.00;0.00;0.00;0.00;5.83;0.00;0.00;0.00;4.96;5.59;5.17;4.41;5.59;0.00
211023;4.105884708669233;0.00;0.00;0.00;6.31;0.00;4.83;0.00;5.79;4.98;6.71;0.00;7.00;5.44;0.00;5.98;0.00;5.02;4.99;0.00;5.14;0.00;0.00;0.00;0.00;5.40;6.15;5.56;0.00;0.00
430370;3.7861833455676335;5.69;0.00;0.00;6.47;0.00;0.00;0.00;5.74;6.15;6.57;0.00;6.56;5.28;0.00;5.45;0.00;5.33;4.35;0.00;6.08;0.00;0.00;4.53;0.00;0.00;5.93;4.69;4.44;6.17
420435;3.614264287358705;5.79;0.00;0.00;6.35;0.00;0.00;0.00;5.66;0.00;6.59;0.00;6.60;5.29;0.00;6.68;0.00;0.00;0.00;0.00;6.26;0.00;0.00;0.00;0.00;0.00;0.00;5.54;5.72;0.00
314170;3.7808931086870787;5.76;0.00;0.00;6.22;0.00;4.40;0.00;5.74;5.52;6.51;0.00;6.54;5.49;0.00;6.16;0.00;5.17;0.00;0.00;5.24;0.00;0.00;0.00;4.17;5.16;5.82;0.00;0.00;0.00
354310;3.657533887557986;5.76;0.00;0.00;6.23;0.00;0.00;0.00;5.77;5.78;6.56;0.00;6.88;4.77;0.00;5.97;0.00;4.15;0.00;0.00;4.77;0.00;0.00;4.95;0.00;0.00;5.76;5.62;5.43;0.00
172025;3.4834446480985353;5.63;0.00;0.00;6.11;0.00;0.00;0.00;5.76;5.44;6.34;4.91;6.47;3.17;0.00;5.80;0.00;3.57;3.77;0.00;5.47;0.00;0.00;5.53;0.00;0.00;5.72;4.76;0.00;0.00
420425;4.2043642046210055;6.02;0.00;0.00;6.53;0.00;5.44;0.00;6.28;0.00;7.01;3.99;7.09;5.66;0.00;6.95;0.00;6.52;5.43;0.00;6.04;0.00;0.00;4.44;0.00;0.00;0.00;5.99;6.15;0.00
293305;4.1671104785966575;5.99;0.00;0.00;6.53;0.00;5.56;0.00;5.93;0.00;6.75;0.00;7.07;5.55;0.00;6.47;0.00;4.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.44;0.00;5.54;0.00
210905;3.7715139899796664;0.00;0.00;0.00;6.27;0.00;0.00;0.00;5.66;0.00;6.43;0.00;6.87;4.97;4.02;5.65;4.16;5.34;5.85;0.00;5.23;0.00;0.00;2.54;0.00;5.61;5.93;5.69;5.34;0.00
230700;4.522757125797883;6.28;0.00;0.00;6.54;0.00;0.00;0.00;6.37;6.52;7.13;0.00;7.27;6.13;3.24;6.85;0.00;4.72;5.64;0.00;5.83;0.00;0.00;4.75;0.00;0.00;5.63;5.76;6.47;6.10
316095;3.7514330818193473;5.69;0.00;0.00;6.22;0.00;4.14;0.00;5.82;0.00;6.58;0.00;6.64;4.39;0.00;5.62;5.11;5.34;0.00;0.00;5.98;0.00;0.00;0.00;3.38;4.87;5.80;5.50;4.48;0.00
410405;3.6343764940883676;0.00;0.00;0.00;6.35;0.00;0.00;0.00;6.10;0.00;6.54;0.00;6.50;4.91;0.00;6.35;0.00;0.00;0.00;0.00;5.70;0.00;3.97;0.00;0.00;0.00;6.04;5.46;0.00;5.85
412230;4.520575229285187;6.16;0.00;5.79;6.75;0.00;5.42;0.00;6.40;6.47;7.24;4.93;7.24;5.92;0.00;6.89;5.18;0.00;5.40;0.00;5.99;0.00;5.25;5.46;0.00;6.13;6.15;5.90;6.45;6.58
350020;3.560026248912892;5.83;0.00;0.00;6.38;0.00;0.00;0.00;5.83;5.96;6.70;0.00;6.86;4.54;0.00;6.11;0.00;5.81;3.43;0.00;5.87;0.00;0.00;0.00;0.00;0.00;5.31;5.44;5.49;0.00
240375;3.479863113023098;5.75;0.00;0.00;6.28;0.00;0.00;0.00;5.86;0.00;6.40;0.00;6.47;0.00;0.00;6.00;0.00;0.00;0.00;0.00;5.01;0.00;0.00;0.00;0.00;0.00;0.00;2.51;0.00;0.00
230940;4.449462971045411;6.17;0.00;0.00;6.58;0.00;0.00;0.00;6.28;5.28;7.06;0.00;7.35;5.67;4.34;6.80;0.00;0.00;6.05;0.00;5.85;0.00;0.00;0.00;0.00;0.00;0.00;5.82;6.12;0.00
171050;3.868526886768204;5.83;0.00;0.00;6.20;0.00;0.00;0.00;5.77;0.00;6.60;0.00;6.59;4.41;0.00;6.16;0.00;5.83;5.83;0.00;4.63;0.00;0.00;5.47;0.00;0.00;5.27;5.05;0.00;0.00
421575;3.4138025167693513;5.67;0.00;0.00;6.16;0.00;4.35;0.00;5.84;0.00;6.40;0.00;6.67;4.83;3.90;6.20;5.15;5.64;0.00;0.00;6.12;0.00;5.38;4.40;3.64;4.66;6.18;5.09;5.06;0.00
231030;4.496597576323709;6.06;0.00;0.00;7.24;0.00;0.00;0.00;6.48;0.00;7.04;0.00;7.35;5.93;0.00;6.68;0.00;4.75;5.04;0.00;4.65;0.00;0.00;0.00;0.00;0.00;0.00;5.87;6.21;0.00
150580;4.75743398993827;6.38;0.00;0.00;6.99;0.00;3.20;0.00;6.47;6.53;7.24;0.00;7.90;6.17;0.00;6.86;0.00;4.85;4.71;0.00;6.19;0.00;0.00;0.00;0.00;5.77;5.81;4.48;6.10;0.00
210040;4.068148740973294;0.00;0.00;0.00;6.48;0.00;0.00;0.00;5.23;5.47;6.60;0.00;7.01;5.69;0.00;5.54;0.00;5.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.06;6.39;4.95;0.00;0.00
210594;3.9417598138146954;0.00;0.00;0.00;6.44;0.00;0.00;0.00;5.67;0.00;6.64;0.00;6.92;5.88;0.00;6.39;0.00;5.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.23;5.31;5.45;0.00
411342;3.5833121519830775;5.63;4.65;0.00;6.36;0.00;0.00;0.00;5.87;4.49;6.48;0.00;6.45;0.00;0.00;6.41;0.00;0.00;4.33;0.00;5.80;0.00;0.00;0.00;0.00;0.00;5.99;5.08;5.58;0.00
231085;4.300486787986029;6.11;0.00;0.00;6.49;0.00;0.00;0.00;6.26;0.00;7.01;0.00;7.22;5.40;0.00;6.55;0.00;5.93;0.00;0.00;5.99;0.00;0.00;5.68;0.00;5.06;4.35;5.76;5.81;0.00
293200;4.4010212292086655;6.16;0.00;0.00;6.52;0.00;5.92;0.00;6.31;0.00;6.98;0.00;7.24;5.63;0.00;6.71;0.00;5.21;0.00;0.00;5.72;0.00;0.00;3.97;0.00;0.00;0.00;5.37;6.02;0.00
231380;4.322033128631803;6.10;0.00;0.00;6.67;0.00;0.00;0.00;6.32;0.00;6.94;0.00;7.22;5.34;0.00;6.44;0.00;3.41;0.00;0.00;5.60;0.00;0.00;0.00;0.00;5.49;0.00;4.86;0.00;0.00
210270;4.328359213547802;5.95;0.00;0.00;6.87;0.00;3.98;0.00;6.03;6.28;6.95;0.00;7.34;5.97;0.00;6.27;0.00;5.59;0.00;0.00;5.28;0.00;0.00;0.00;0.00;0.00;6.24;2.42;0.00;0.00
280067;4.425534220498263;6.19;0.00;0.00;7.19;0.00;0.00;0.00;6.04;0.00;6.68;0.00;7.25;5.83;0.00;5.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.27;4.69;5.25;0.00
220800;4.882575762330136;6.57;6.10;5.98;7.53;0.00;4.98;0.00;6.34;6.73;7.76;0.00;7.56;0.00;3.16;5.42;0.00;6.58;5.66;0.00;6.07;3.48;0.00;0.00;0.00;0.00;0.00;5.47;0.00;0.00
