#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2013_REL_NOR;LOF_2013_SUA_NOR
420650;Guaramirim - SC;38851.0;91770668.87;1754692.59;0.00;0.00;7900368.43;0.00;116654.37;0.00;3726824.05;0.00;25628102.32;149400.53;25616860.95;1249839.90;0.00;8138587.90;61905.41;3977837.91;254870.53;0.00;980123.49;0.00;0.00;410332.00;0.00;0.00;5187684.73;1370490.22;5246093.54;0.00;1.11;1.12
350120;Álvares Florence - SP;3915.0;14165977.70;600823.23;0.00;0.00;2421870.42;0.00;0.00;0.00;939210.33;0.00;3254098.20;0.00;3858197.06;21063.05;0.00;1672330.35;0.00;0.00;0.00;0.00;295918.66;0.00;0.00;0.00;0.00;0.00;550511.97;400979.92;150974.51;0.00;1.12;0.97
431740;Santiago - RS;50608.0;69078791.76;1972724.38;251609.26;0.00;16225267.79;0.00;0.00;0.00;1889483.12;7377662.88;15667680.50;0.00;16010771.43;485937.72;0.00;1803174.66;0.00;259716.55;109048.22;0.00;944850.28;0.00;8163.87;548930.96;0.00;0.00;1435546.06;898514.82;3189709.26;7582901.34;1.07;1.10
520170;Aragarças - GO;19267.0;33997473.51;1122999.62;39.45;0.00;3196917.97;0.00;265277.93;0.00;658084.87;0.00;8241580.24;0.00;9963486.84;1390.95;0.00;3518497.62;0.00;4486229.88;70384.47;0.00;79989.42;0.00;0.00;100444.80;0.00;7696.04;299398.34;1048574.61;936480.46;0.00;1.31;1.10
500210;Bela Vista - MS;23888.0;41310875.83;1744333.08;97991.03;0.00;13452671.49;0.00;0.00;0.00;2844960.75;0.00;3267949.28;0.00;14040848.46;113383.11;0.00;3797626.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;352427.24;0.00;208531.78;596268.37;207660.38;586223.93;0.00;1.48;1.22
421700;São Ludgero - SC;11940.0;28645183.36;1151267.72;0.00;0.00;2577174.13;0.00;0.00;0.00;782176.02;0.00;5757582.67;0.00;7179096.82;199019.48;0.00;4961637.48;0.00;2316575.18;0.00;0.00;818433.78;0.00;0.00;0.00;0.00;0.00;551415.88;566085.44;1784718.76;0.00;1.30;0.97
411990;Ponta Grossa - PR;331084.0;504314500.92;0.00;0.00;0.00;54829277.30;0.00;7735563.10;0.00;23472438.41;0.00;117733895.70;8722247.03;160378174.68;4662328.21;25940.49;35049479.80;9519.66;1949943.81;4712393.09;17496.16;2132333.33;0.00;1911066.49;21915169.65;1349276.22;0.00;17750041.43;3891098.67;36066817.69;0.00;1.56;1.22
431127;Lagoa dos Três Cantos - RS;1648.0;9689644.94;305305.43;0.00;0.00;1573689.70;0.00;18000.00;0.00;322574.98;301322.46;2399299.97;0.00;1687090.94;150400.16;0.00;201761.26;0.00;0.00;101144.16;0.00;459440.66;0.00;0.00;154439.30;0.00;90517.08;1454075.36;73563.91;397019.57;0.00;1.53;1.10
351470;Echaporã - SP;6389.0;17930621.82;583327.83;0.00;0.00;2203795.60;0.00;0.00;0.00;609727.83;0.00;4084205.70;0.00;5139461.78;98225.00;0.00;2527050.35;1855.28;0.00;0.00;0.00;139776.27;0.00;0.00;68307.48;0.00;0.00;743748.18;392847.96;1338292.56;0.00;1.31;1.05
420670;Herval d'Oeste - SC;21961.0;37004396.14;1245558.74;0.00;0.00;4082257.98;0.00;349748.47;0.00;1531496.75;2485638.05;8852140.22;735246.51;10352610.99;590968.43;0.00;886579.43;88289.27;157662.29;0.00;0.00;947241.57;0.00;0.00;53316.00;0.00;0.00;3514636.15;529293.84;601711.45;0.00;1.35;1.09
