#Codigo;Legislativa(2019);Judiciária(2019);Essencial à Justiça(2019);Administração(2019);Defesa Nacional(2019);Segurança Pública(2019);Relações Exteriores(2019);Assistência Social(2019);Previdência Social(2019);Saúde(2019);Trabalho(2019);Educação(2019);Cultura(2019);Direitos da Cidadania(2019);Urbanismo(2019);Habitação(2019);Saneamento(2019);Gestão Ambiental(2019);Ciência e Tecnologia(2019);Agricultura(2019);Organização Agrária(2019);Indústria(2019);Comércio e Serviços(2019);Comunicações(2019);Energia(2019);Transporte(2019);Desporto e Lazer(2019);Encargos Especiais(2019);Despesas (Intraorçamentárias)(2019);Legislativa(2020);Judiciária(2020);Essencial à Justiça(2020);Administração(2020);Defesa Nacional(2020);Segurança Pública(2020);Relações Exteriores(2020);Assistência Social(2020);Previdência Social(2020);Saúde(2020);Trabalho(2020);Educação(2020);Cultura(2020);Direitos da Cidadania(2020);Urbanismo(2020);Habitação(2020);Saneamento(2020);Gestão Ambiental(2020);Ciência e Tecnologia(2020);Agricultura(2020);Organização Agrária(2020);Indústria(2020);Comércio e Serviços(2020);Comunicações(2020);Energia(2020);Transporte(2020);Desporto e Lazer(2020);Encargos Especiais(2020);Despesas (Intraorçamentárias)(2020)
353320;2.45;-0.27;-0.15;0.63;-0.08;0.14;-0.02;1.89;2.53;1.99;-0.18;3.97;1.01;-0.09;1.91;-0.14;0.64;-0.39;-0.09;0.47;-0.03;-0.18;-0.23;-0.21;-0.40;-0.09;0.80;3.47;-0.30;2.45;-0.27;-0.15;0.63;-0.08;0.14;-0.02;1.89;2.53;1.99;-0.18;3.97;1.01;-0.09;1.91;-0.14;0.64;-0.39;-0.09;0.47;-0.03;-0.18;-0.23;-0.21;-0.40;-0.09;0.80;3.47;-0.30
431240;-0.54;-0.27;-0.15;0.07;-0.08;-0.18;-0.02;-0.82;0.78;-0.31;-0.18;-0.13;0.22;0.68;-0.40;0.05;-0.32;-0.26;-0.09;-0.27;-0.03;0.55;-0.27;-0.12;0.95;-0.55;-0.48;0.30;-0.30;-0.54;-0.27;-0.15;0.07;-0.08;-0.18;-0.02;-0.82;0.78;-0.31;-0.18;-0.13;0.22;0.68;-0.40;0.05;-0.32;-0.26;-0.09;-0.27;-0.03;0.55;-0.27;-0.12;0.95;-0.55;-0.48;0.30;-0.30
421755;1.22;-0.27;-0.15;0.16;-0.08;-0.12;-0.02;0.34;-0.64;0.39;-0.18;0.51;-0.30;-0.09;0.47;-0.14;-0.32;-0.33;-0.09;3.20;-0.03;-0.18;-0.29;-0.21;-0.40;1.64;-0.12;0.79;-0.30;1.22;-0.27;-0.15;0.16;-0.08;-0.12;-0.02;0.34;-0.64;0.39;-0.18;0.51;-0.30;-0.09;0.47;-0.14;-0.32;-0.33;-0.09;3.20;-0.03;-0.18;-0.29;-0.21;-0.40;1.64;-0.12;0.79;-0.30
431890;-0.19;-0.27;-0.15;-0.83;-0.08;-0.21;-0.02;-0.54;-0.47;-0.73;-0.18;-0.97;-0.40;-0.09;-0.38;-0.14;-0.23;-0.28;-0.09;-0.32;-0.03;-0.18;-0.14;-0.21;-0.40;-0.31;-0.37;2.72;2.13;-0.19;-0.27;-0.15;-0.83;-0.08;-0.21;-0.02;-0.54;-0.47;-0.73;-0.18;-0.97;-0.40;-0.09;-0.38;-0.14;-0.23;-0.28;-0.09;-0.32;-0.03;-0.18;-0.14;-0.21;-0.40;-0.31;-0.37;2.72;2.13
220330;-0.48;-0.27;-0.15;-0.52;-0.08;-0.31;-0.02;-0.67;-0.64;-1.14;-0.18;-1.19;-0.49;-0.09;-1.01;-0.06;0.29;-0.39;-0.09;-0.49;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;0.22;-0.41;-0.30;-0.48;-0.27;-0.15;-0.52;-0.08;-0.31;-0.02;-0.67;-0.64;-1.14;-0.18;-1.19;-0.49;-0.09;-1.01;-0.06;0.29;-0.39;-0.09;-0.49;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;0.22;-0.41;-0.30
250970;-0.39;-0.12;-0.15;-0.91;-0.08;-0.31;-0.02;-0.67;-0.54;0.12;-0.18;-1.03;0.10;-0.09;-0.39;-0.11;-0.23;0.58;-0.09;-0.03;-0.03;-0.18;-0.27;-0.21;1.18;-0.56;-0.58;-0.19;-0.30;-0.39;-0.12;-0.15;-0.91;-0.08;-0.31;-0.02;-0.67;-0.54;0.12;-0.18;-1.03;0.10;-0.09;-0.39;-0.11;-0.23;0.58;-0.09;-0.03;-0.03;-0.18;-0.27;-0.21;1.18;-0.56;-0.58;-0.19;-0.30
411520;-0.57;0.61;-0.15;-0.51;-0.08;1.57;-0.02;-0.39;1.03;0.66;-0.01;-1.01;-0.29;0.69;-0.03;0.24;0.15;-0.07;0.00;-0.57;-0.03;5.25;-0.05;-0.21;-0.40;-0.12;0.22;1.83;0.46;-0.57;0.61;-0.15;-0.51;-0.08;1.57;-0.02;-0.39;1.03;0.66;-0.01;-1.01;-0.29;0.69;-0.03;0.24;0.15;-0.07;0.00;-0.57;-0.03;5.25;-0.05;-0.21;-0.40;-0.12;0.22;1.83;0.46
310920;0.03;0.88;-0.15;-0.38;-0.08;-0.31;-0.02;-0.58;0.10;-0.24;-0.18;-0.98;0.99;-0.05;-0.91;-0.14;-0.27;-0.27;-0.09;-0.50;-0.03;-0.18;-0.25;0.33;1.18;-0.28;-0.23;-0.83;-0.30;0.03;0.88;-0.15;-0.38;-0.08;-0.31;-0.02;-0.58;0.10;-0.24;-0.18;-0.98;0.99;-0.05;-0.91;-0.14;-0.27;-0.27;-0.09;-0.50;-0.03;-0.18;-0.25;0.33;1.18;-0.28;-0.23;-0.83;-0.30
210390;-0.95;-0.27;-0.15;-0.32;-0.08;-0.31;-0.02;-0.59;-0.40;-0.53;-0.18;1.06;-0.30;-0.09;-0.05;-0.14;-0.32;-0.39;-0.09;-0.55;-0.03;-0.18;-0.29;0.28;-0.40;-0.59;-0.59;-0.83;-0.30;-0.95;-0.27;-0.15;-0.32;-0.08;-0.31;-0.02;-0.59;-0.40;-0.53;-0.18;1.06;-0.30;-0.09;-0.05;-0.14;-0.32;-0.39;-0.09;-0.55;-0.03;-0.18;-0.29;0.28;-0.40;-0.59;-0.59;-0.83;-0.30
261620;-0.23;-0.27;-0.15;-0.61;-0.08;-0.31;-0.02;-0.76;-0.64;-0.50;-0.18;-0.43;0.51;-0.09;-0.47;-0.14;-0.13;-0.26;-0.09;-0.40;-0.03;0.14;-0.25;-0.21;-0.40;-0.30;-0.58;-0.27;-0.30;-0.23;-0.27;-0.15;-0.61;-0.08;-0.31;-0.02;-0.76;-0.64;-0.50;-0.18;-0.43;0.51;-0.09;-0.47;-0.14;-0.13;-0.26;-0.09;-0.40;-0.03;0.14;-0.25;-0.21;-0.40;-0.30;-0.58;-0.27;-0.30
