#Codigo;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
270070;0.291254751954691;0.43;-0.55;-0.30;0.38;-0.24;-0.82;-0.04;0.03;1.05;0.24;-0.48;0.26;-3.08;-0.35;-0.03;-0.66;-1.20;0.65;-0.20;0.37;-0.09;-0.47;-0.78;-0.49;-0.65;-1.85;0.03;-1.86;-0.49
240840;-0.9326935676906962;0.28;-0.55;-0.30;-0.44;-0.24;-0.82;-0.04;-0.39;0.84;-0.51;-0.48;-0.77;-3.08;-0.35;-0.63;-0.66;-1.20;-1.27;-0.20;0.36;-0.09;-0.47;1.06;-0.49;-0.65;-1.85;0.45;0.52;-0.49
292925;0.3438736765046876;0.41;-0.55;-0.30;0.26;-0.24;1.04;-0.04;0.24;-1.00;0.28;-0.48;0.43;0.25;-0.35;0.34;-0.66;0.90;0.69;-0.20;0.39;-0.09;-0.47;-0.78;-0.49;1.51;0.73;0.47;0.42;-0.49
210730;-0.8917569951769919;-2.34;1.63;-0.30;-0.59;-0.24;-0.82;-0.04;-0.46;-1.00;-0.86;1.89;-0.35;-0.70;-0.35;0.19;1.54;0.72;-1.27;-0.20;0.20;-0.09;-0.47;1.27;1.91;1.61;0.66;-3.51;-1.86;-0.49
521483;-0.032000847487867606;0.49;1.22;-0.30;0.44;-0.24;1.14;-0.04;0.95;1.00;0.20;-0.48;0.07;-1.03;-0.35;0.39;-0.66;0.43;0.68;-0.20;0.26;-0.09;-0.47;-0.78;2.18;-0.65;0.77;0.84;-1.86;-0.49
292150;1.2258457208214044;0.57;-0.55;3.36;0.27;-0.24;-0.82;-0.04;0.76;-1.00;0.66;-0.48;1.12;0.54;-0.35;0.63;-0.66;0.40;-1.27;-0.20;0.59;-0.09;-0.47;-0.78;-0.49;1.45;0.62;-0.60;0.71;-0.49
270190;-0.4827281997195632;-2.34;0.57;-0.30;-0.35;-0.24;-0.82;-0.04;-0.56;1.07;-0.50;-0.48;-0.22;-0.34;-0.35;-0.16;-0.66;-1.20;-1.27;-0.20;0.37;-0.09;-0.47;-0.78;-0.49;-0.65;-1.85;0.28;0.15;-0.49
412863;-0.689572925651339;-2.34;1.75;-0.30;-0.57;-0.24;-0.82;-0.04;-0.20;-1.00;-0.62;-0.48;-0.53;-0.12;-0.35;-0.10;-0.66;-1.20;0.72;-0.20;0.31;-0.09;-0.47;-0.78;-0.49;-0.65;0.57;-0.04;0.30;-0.49
150120;1.008854682327978;0.47;-0.55;-0.30;0.80;-0.24;1.53;-0.04;-0.03;1.19;0.40;-0.48;0.95;0.52;2.72;0.05;-0.66;0.99;0.80;-0.20;0.39;-0.09;-0.47;-0.78;2.22;1.49;0.27;-0.59;-1.86;-0.49
410970;0.7241575347870773;-2.34;-0.55;-0.30;0.36;4.23;-0.82;-0.04;-0.03;-1.00;-1.52;-0.48;0.25;-0.23;-0.35;0.56;-0.66;-1.20;0.93;-0.20;0.59;-0.09;-0.47;1.46;-0.49;-0.65;-0.24;0.27;0.42;2.00
355635;-0.25313200487705334;0.32;-0.55;-0.30;-0.44;-0.24;1.33;-0.04;-0.70;-1.00;-0.09;-0.48;-0.04;-3.08;-0.35;-0.17;-0.66;-1.20;0.86;-0.20;0.12;-0.09;-0.47;-0.78;-0.49;-0.65;0.56;0.30;0.37;-0.49
314345;-0.4209764023259941;0.31;1.77;-0.30;-0.88;4.00;0.71;-0.04;-0.45;-1.00;-0.31;-0.48;-0.72;0.30;-0.35;-0.17;-0.66;1.20;0.30;-0.20;0.16;-0.09;-0.47;-0.78;1.70;-0.65;0.50;0.34;0.59;-0.49
221093;-0.5949425929254198;0.23;-0.55;-0.30;-0.73;-0.24;0.86;-0.04;-0.78;0.81;-0.69;1.86;-0.59;-1.23;2.72;-0.74;0.99;0.88;-1.27;-0.20;0.18;-0.09;-0.47;-0.78;2.22;1.55;0.06;-0.10;-1.86;-0.49
150780;-0.06638974507705199;-2.34;-0.55;-0.30;-0.27;-0.24;-0.82;-0.04;0.07;-1.00;-0.11;-0.48;0.34;0.47;-0.35;0.14;-0.66;0.72;1.04;-0.20;0.24;-0.09;-0.47;-0.78;-0.49;1.47;-1.85;0.01;0.50;-0.49
210725;-0.7888900137777639;-2.34;-0.55;-0.30;-1.06;-0.24;-0.82;-0.04;-0.66;-1.00;-0.64;-0.48;-0.35;0.56;-0.35;-1.18;-0.66;0.90;-1.27;-0.20;-0.10;-0.09;-0.47;-0.78;-0.49;1.17;0.91;-0.35;-1.86;-0.49
292800;0.8830160884931435;0.55;1.55;-0.30;-0.08;-0.24;1.22;-0.04;0.52;-1.00;0.58;-0.48;0.79;0.62;-0.35;0.48;-0.66;0.96;-1.27;-0.20;0.19;-0.09;-0.47;-0.78;-0.49;1.64;-1.85;-3.51;0.71;-0.49
291100;-0.11913506581867607;0.35;1.84;-0.30;-0.11;-0.24;-0.82;-0.04;-0.08;-1.00;-0.35;-0.48;-0.16;0.07;-0.35;0.16;-0.66;-1.20;-1.27;-0.20;-2.97;-0.09;-0.47;-0.78;-0.49;-0.65;-1.85;-0.90;-1.86;-0.49
320225;-0.06321205331999788;0.43;-0.55;-0.30;0.49;-0.24;-0.82;-0.04;0.29;-1.00;0.04;1.46;-0.12;0.41;-0.35;0.23;-0.66;0.87;1.07;-0.20;0.93;-0.09;-0.47;-0.78;-0.49;-0.65;-0.24;0.06;-0.28;-0.49
