#Codigo;Cidade;GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
432285;Vespasiano Correa - RS;1;-2615,41;0,11;1,3;1,3;1;-4722,89;0,54;1;1
430570;Condor - RS;1;-2626,89;0,78;2,36;2,41;1;-6977,72;1;1,2;1,2
411570;Matinhos - PR;1;-2640,55;1;1,75;1,76;1;-6084,4;0,2;1,28;1,28
316110;São Francisco - MG;1;-2740,96;0,29;1,95;1,97;1;-2339,27;0,21;1,09;1,09
310320;Araçaí - MG;1;-2762,11;0,34;1,7;1,72;1;-5916,46;0,17;1,06;1,06
170380;Buriti do Tocantins - TO;1;-2819,66;1;1,56;1,57;1;31012,49;1;2,88;2,9
430245;Boqueirão do Leão - RS;1;-2856,1;0,96;2,39;2,39;1;-6576,08;1;1,24;1,25
412320;Santa Cecília do Pavão - PR;1;-2893,65;0,99;1,97;1,97;1;-449,09;1;1,19;1,19
510600;Nortelândia - MT;1;-2897,47;1;1,88;1,9;1;-6994,85;1;1,21;1,21
521880;Rio Verde - GO;1;-2903,88;0,04;1,96;1,97;1;3769,45;1;1,08;1,09
350870;Caconde - SP;1;-2914,99;0,37;1,57;1,59;1;-7968,51;0,02;1,04;1,04
411885;Perobal - PR;1;-2934,25;1;2,13;2,18;1;-1914,33;0,03;1,16;1,16
330455;Rio de Janeiro - RJ;1;-2998,08;1;1,8;1,8;1;40997,14;1;1,36;1,37
140002;Amajari - RR;1;-3020,44;1;1,94;1,96;1;2888,18;1;1,88;1,89
421020;Major Gercino - SC;1;-3027,8;0,92;1,76;1,78;1;-4190,87;0,89;1,19;1,19
353870;Piracicaba - SP;1;-3041,11;0,98;1,6;1,62;1;6458,35;0;1,1;1,11
355695;Vitória Brasil - SP;1;-3056,99;0,23;1,51;1,53;1;-5345,15;0;1,03;1,03
520870;Goiânia - GO;1;-3066,34;1;2,02;2,04;1;14691,42;1;1,14;1,14
521410;Mutunópolis - GO;1;-3078;0,8;1,64;1,65;1;1665,55;1;1,3;1,3
310375;Araporã - MG;1;-3113,16;1;1,75;1,76;1;-8594,58;0,92;1,09;1,09
510395;Glória D'Oeste - MT;1;-3119,05;1;1,73;1,76;1;-3666,31;1;1,21;1,22
354520;Salto - SP;1;-3146,22;0,14;1,52;1,53;1;-4604,82;0,99;1,26;1,27
520620;Cristalina - GO;1;-3166,14;1;2,35;2,36;1;59892,15;1;3,5;3,54
421755;Serra Alta - SC;1;-3189,27;0,01;1,35;1,36;1;-6134,56;0;1,05;1,05
