#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
220760;Parnaguá - PI;10530.0;20300004.94;619089.73;0.00;0.00;3452821.79;0.00;0.00;0.00;678513.71;0.00;5603467.57;0.00;8120445.54;0.00;0.00;1305845.81;65530.76;20719.16;26950.00;0.00;49426.75;0.00;0.00;0.00;0.00;2075.10;61254.48;0.00;293864.54;0.00;0.00;-8525.44;0.30;0.98;0.98;0.00;-4435.21;1.00;1.19;1.19
353350;Novo Horizonte - SP;39191.0;98699130.84;2153531.88;0.00;0.00;11681427.64;120707.75;130563.85;0.00;4771006.56;2603848.49;19704042.85;768482.74;34757925.65;289286.70;0.00;8516656.83;0.00;0.00;4800153.26;0.00;2226107.57;0.00;41849.34;310290.73;0.00;0.00;1242440.04;1399240.49;3181568.47;0.00;0.00;-10897.11;1.00;1.24;1.24;0.00;-4008.22;0.36;1.15;1.15
431335;Nova Roma do Sul - RS;3543.0;17494746.00;319007.03;0.00;0.00;3298935.92;0.00;32000.00;0.00;93585.59;1166939.12;3161044.65;0.00;2882045.36;237928.95;0.00;214081.09;0.00;342755.26;47188.85;0.00;2068843.35;0.00;80324.00;266668.92;5573.50;0.00;2552878.42;724945.99;0.00;1057829.54;0.00;-4101.96;1.00;1.65;1.66;0.00;-5569.68;1.00;1.16;1.16
220270;Cocal - PI;27163.0;43982622.11;1091652.28;0.00;0.00;5788029.43;0.00;236272.39;0.00;747972.00;0.00;10804235.30;0.00;20945752.16;422235.02;0.00;1963490.91;147245.00;1000794.28;138461.75;0.00;345131.21;0.00;0.00;0.00;0.00;0.00;181017.53;170332.85;0.00;0.00;0.00;-7429.53;0.04;0.98;0.98;0.00;-9813.73;1.00;1.09;1.09
510410;Guarantã do Norte - MT;33632.0;64183631.70;1875595.33;0.00;0.00;11095522.96;0.00;83094.30;0.00;1903230.22;1551986.62;22383257.70;534420.94;17769774.25;555863.86;0.00;3053593.45;0.00;0.00;7340.00;0.00;1045175.97;0.00;5830.00;206388.86;0.00;721791.46;165388.95;335288.73;890088.10;0.00;0.00;-9257.70;0.01;1.10;1.10;0.00;-9405.67;0.03;1.11;1.11
430340;Caiçara - RS;5125.0;15018219.40;396088.15;0.00;0.00;2963551.07;0.00;0.00;0.00;431426.37;0.00;3092726.36;0.00;3765243.06;50790.38;99555.80;818503.75;0.00;150.00;98023.61;0.00;1345910.94;1700.00;0.00;63777.34;0.00;0.00;57775.55;570058.67;1262938.35;486130.49;0.00;-10077.05;1.00;1.59;1.60;0.00;911.00;0.89;1.81;1.82
411300;Jussara - PR;6931.0;21924580.94;0.00;84805.91;0.00;3349331.23;0.00;0.00;0.00;1099585.46;0.00;6186115.78;177550.19;4257643.44;368277.26;0.00;2704422.86;0.00;0.00;0.00;0.00;461465.80;0.00;58171.75;0.00;0.00;0.00;1418000.95;1181414.90;577795.41;0.00;0.00;-12061.81;0.40;1.44;1.45;0.00;-5025.50;0.53;1.17;1.18
291290;Ibirataia - BA;18348.0;39209078.65;1261666.05;0.00;0.00;8023987.48;0.00;11352.00;0.00;589350.03;0.00;9613638.73;0.00;15314448.86;520491.30;0.00;2242165.64;6854.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;359407.48;47391.60;1218324.89;0.00;0.00;-9247.28;0.02;1.09;1.09;0.00;-8439.25;0.07;1.08;1.09
291870;Lafaiete Coutinho - BA;4046.0;14552509.72;575643.96;0.00;0.00;1906475.96;0.00;138748.06;0.00;877875.69;0.00;2931717.84;0.00;4364641.59;135767.31;0.00;1702643.28;0.00;768948.10;0.00;0.00;54233.74;0.00;0.00;109104.94;0.00;88946.58;484182.67;216485.52;197094.48;0.00;0.00;-14293.57;0.07;1.35;1.36;0.00;-7125.50;0.94;1.04;1.04
260270;Buenos Aires - PE;12974.0;24294379.47;889433.84;0.00;0.00;2607586.00;0.00;0.00;0.00;1006143.46;1892724.61;6066316.84;0.00;7784300.48;1249616.09;0.00;2302850.88;0.00;13926.86;18540.00;0.00;126154.36;0.00;0.00;0.00;0.00;0.00;299258.90;37527.15;0.00;0.00;0.00;-8559.99;0.00;1.15;1.15;0.00;-8658.10;0.00;1.02;1.02
291340;Igaporã - BA;16193.0;33361036.41;1190113.36;26692.09;0.00;3120409.33;0.00;114981.66;0.00;702614.81;280864.68;8899169.10;0.00;11816935.44;939121.57;0.00;3702747.03;23.40;848932.84;0.00;0.00;1079837.99;0.00;20448.97;0.00;0.00;27794.39;104859.00;264038.34;221452.41;0.00;0.00;-10052.79;1.00;1.10;1.11;0.00;-8559.48;0.00;1.07;1.08
310945;Cabeceira Grande - MG;6818.0;22269119.76;946373.67;0.00;238852.10;3175891.89;5151.75;81279.55;0.00;1122169.30;893857.60;4118074.38;16974.26;7045165.04;134448.91;82988.75;792223.59;0.00;695239.71;0.00;126165.50;407848.19;0.00;0.00;0.00;0.00;0.00;1220783.08;54673.54;1110958.95;1100354.48;0.00;-4278.90;0.30;1.86;1.88;0.00;-2215.99;1.00;1.44;1.44
130370;Santo Antônio do Içá - AM;24005.0;47053380.60;1521158.00;0.00;0.00;6447129.75;0.00;155045.33;0.00;1324215.19;0.00;8777708.87;0.00;18712242.94;27144.00;0.00;8239560.73;0.00;0.00;0.00;0.00;582117.28;0.00;0.00;0.00;0.00;0.00;111630.00;581625.90;573802.61;0.00;0.00;-8840.56;0.01;1.13;1.13;0.00;-9042.47;1.00;1.07;1.07
430613;Cruzaltense - RS;2115.0;11659257.22;528866.89;70896.57;0.00;2138695.05;0.00;0.00;0.00;153259.65;0.00;2911506.87;0.00;2351320.29;7635.00;0.00;66927.57;23947.00;56747.84;292.21;0.00;1047665.51;0.00;0.00;0.00;0.00;0.00;2098199.49;203297.28;0.00;0.00;0.00;-6526.33;1.00;1.33;1.33;0.00;-4885.20;1.00;1.17;1.17
251455;São José de Princesa - PB;4015.0;9717447.90;461051.96;50685.00;0.00;1555382.70;0.00;0.00;0.00;1211555.70;0.00;2355793.79;0.00;2500599.78;281895.22;0.00;920076.84;0.00;0.00;0.00;0.00;127904.00;0.00;0.00;0.00;0.00;0.00;92390.00;0.00;160112.91;0.00;0.00;-10995.73;0.95;1.39;1.40;0.00;-2789.60;0.02;1.13;1.13
