#Codigo;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
261380;-0.24;-0.28;-0.15;-0.61;-0.08;-0.32;-0.01;-0.40;1.26;-0.70;-0.22;-0.39;0.73;-0.10;-0.04;-0.22;-0.14;-0.34;-0.10;-0.50;-0.04;-0.17;-0.26;-0.21;-0.44;-0.48;-0.64;-0.81;-0.31
355395;0.17;-0.28;-0.15;0.41;-0.08;-0.32;-0.01;1.30;0.72;0.18;-0.03;0.85;0.19;-0.10;0.41;-0.22;-0.31;1.47;-0.10;-0.03;-0.04;-0.17;-0.26;1.07;2.11;-0.53;1.69;-0.81;1.14
291580;-0.44;-0.28;-0.15;-0.73;-0.08;-0.31;-0.01;-0.16;-0.64;-1.13;-0.22;-0.24;-0.49;-0.10;-0.63;-0.22;-0.41;-0.44;-0.10;-0.56;-0.04;-0.17;-0.26;-0.19;-0.44;-0.20;-0.60;0.19;-0.31
430955;-0.32;-0.28;-0.15;2.28;3.19;-0.32;-0.01;-0.62;0.75;0.32;-0.22;0.33;0.70;-0.10;-0.92;-0.22;-0.40;-0.44;-0.10;2.59;-0.04;7.64;0.01;-0.21;-0.44;0.77;2.54;-0.65;-0.31
350390;0.61;-0.28;-0.15;0.32;-0.08;1.48;-0.01;0.27;-0.54;-0.36;-0.22;-0.04;-0.31;-0.10;0.75;-0.22;-0.41;-0.44;-0.10;-0.57;-0.04;-0.17;-0.26;-0.21;1.01;-0.53;-0.24;0.04;-0.31
260740;3.14;0.06;-0.15;4.43;-0.08;-0.32;-0.01;1.36;-0.12;0.74;-0.22;1.86;-0.22;-0.10;0.40;-0.22;-0.41;-0.33;-0.10;-0.57;-0.04;-0.17;-0.26;-0.21;-0.44;-0.53;-0.60;0.55;1.75
431050;-0.43;-0.28;0.45;0.13;-0.08;-0.32;-0.01;-0.51;-0.64;-0.48;0.03;-0.49;-0.53;-0.10;-0.77;0.48;-0.37;-0.39;-0.10;0.56;-0.04;-0.17;0.38;-0.21;-0.44;0.25;-0.56;-0.16;-0.31
353282;0.39;-0.28;-0.15;-0.22;-0.08;-0.32;-0.01;0.15;-0.64;-0.35;-0.22;0.90;-0.21;-0.10;0.23;-0.21;-0.18;-0.44;-0.10;-0.42;-0.04;-0.17;-0.26;-0.21;-0.44;-0.23;-0.29;-0.56;-0.31
431450;0.20;-0.28;-0.15;0.89;-0.08;-0.32;-0.01;-0.76;3.11;-0.12;5.13;-0.08;-0.23;-0.10;-1.00;-0.10;-0.39;-0.40;-0.10;-0.56;-0.04;-0.17;-0.26;-0.21;-0.44;-0.49;-0.62;0.37;1.70
411845;0.94;-0.28;-0.15;0.50;-0.08;-0.32;-0.01;1.60;-0.47;1.60;-0.22;0.25;3.57;-0.10;2.47;-0.22;1.19;-0.44;-0.10;1.47;-0.04;2.62;1.64;-0.21;-0.44;3.37;2.38;0.62;-0.31
