#CodIBGE;uf;nome caixa;populacao;legislativa;judiciária;essencial à justiça;administração;defesa nacional;segurança pública;relações exteriores;assistência social;previdência social;saúde;trabalho;educação;cultura;direitos da cidadania;urbanismo;habitação;saneamento;gestão ambiental;ciência e tecnologia;agricultura;organização agrária;indústria;comércio e serviços;comunicações;energia;transporte;desporto e lazer;encargos especiais
412510;PR;SAO JOAO DO TRIUNFO;12468;R$ 283000,00;R$ 0,00;R$ 0,00;R$ 702133,05;R$ 0,00;R$ 0,00;R$ 0,00;R$ 435679,83;R$ 26501,68;R$ 1522733,10;R$ 0,00;R$ 2572870,22;R$ 24419,90;R$ 0,00;R$ 349828,18;R$ 0,00;R$ 33410,39;R$ 0,00;R$ 0,00;R$ 138903,57;R$ 0,00;R$ 0,00;R$ 0,00;R$ 11105,02;R$ 0,00;R$ 1168801,71;R$ 271047,17;R$ 157235,93
412520;PR;SAO JORGE D'OESTE;8787;R$ 331700,00;R$ 0,00;R$ 0,00;R$ 1091721,05;R$ 0,00;R$ 1585,00;R$ 0,00;R$ 610711,82;R$ 382560,06;R$ 1891098,79;R$ 0,00;R$ 2205578,93;R$ 49680,49;R$ 0,00;R$ 938804,05;R$ 211964,25;R$ 10000,00;R$ 0,00;R$ 0,00;R$ 378877,77;R$ 0,00;R$ 1349378,02;R$ 39232,29;R$ 0,00;R$ 0,00;R$ 2036683,04;R$ 401509,32;R$ 485193,02
412530;PR;SAO JORGE DO IVAI;5335;R$ 209556,51;R$ 27256,34;R$ 0,00;R$ 1148819,88;R$ 25281,76;R$ 0,00;R$ 0,00;R$ 287306,32;R$ 0,00;R$ 1193124,28;R$ 0,00;R$ 1188595,48;R$ 27203,87;R$ 0,00;R$ 1302988,23;R$ 592908,62;R$ 32800,00;R$ 10614,00;R$ 0,00;R$ 140274,27;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 344086,33;R$ 60889,65;R$ 259863,31
412535;PR;SAO JORGE DO PATROCINIO;5304;R$ 211017,53;R$ 44769,93;R$ 0,00;R$ 845917,03;R$ 28874,94;R$ 5360,00;R$ 0,00;R$ 360306,15;R$ 0,00;R$ 1993024,79;R$ 0,00;R$ 1592903,38;R$ 18167,74;R$ 0,00;R$ 552833,06;R$ 1699,50;R$ 15804,00;R$ 249637,26;R$ 0,00;R$ 845939,26;R$ 0,00;R$ 29595,67;R$ 1463,73;R$ 0,00;R$ 0,00;R$ 520303,47;R$ 59635,26;R$ 189657,84
412540;PR;SAO JOSE DA BOA VISTA;6194;R$ 178359,77;R$ 0,00;R$ 0,00;R$ 1018451,15;R$ 0,00;R$ 0,00;R$ 0,00;R$ 211038,28;R$ 0,00;R$ 1341921,93;R$ 0,00;R$ 1360040,28;R$ 23281,33;R$ 0,00;R$ 323588,75;R$ 48356,48;R$ 319,81;R$ 152,00;R$ 0,00;R$ 130830,14;R$ 0,00;R$ 88937,61;R$ 800,00;R$ 0,00;R$ 0,00;R$ 264980,17;R$ 17730,96;R$ 124203,65
412545;PR;SAO JOSE DAS PALMEIRAS;3335;R$ 230806,93;R$ 0,00;R$ 0,00;R$ 734796,38;R$ 0,00;R$ 0,00;R$ 0,00;R$ 269500,56;R$ 0,00;R$ 718588,75;R$ 0,00;R$ 976331,70;R$ 41329,39;R$ 0,00;R$ 272315,80;R$ 0,00;R$ 10236,15;R$ 0,00;R$ 0,00;R$ 225167,31;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 566132,18;R$ 0,00;R$ 0,00
412550;PR;SAO JOSE DOS PINHAIS;243750;R$ 6733336,84;R$ 0,00;R$ 0,00;R$ 22065455,99;R$ 74965,58;R$ 0,00;R$ 0,00;R$ 7447040,65;R$ 7870755,68;R$ 36743111,03;R$ 0,00;R$ 56610643,56;R$ 1702380,80;R$ 0,00;R$ 8909213,74;R$ 728868,27;R$ 0,00;R$ 9859656,51;R$ 0,00;R$ 2062299,65;R$ 0,00;R$ 4058814,19;R$ 0,00;R$ 0,00;R$ 0,00;R$ 41122766,13;R$ 5198251,40;R$ 0,00
412555;PR;SAO MANOEL DO PARANA;1917;R$ 125967,52;R$ 0,00;R$ 21659,40;R$ 680070,66;R$ 0,00;R$ 58774,89;R$ 0,00;R$ 201453,08;R$ 0,00;R$ 794404,68;R$ 0,00;R$ 814251,66;R$ 31406,61;R$ 0,00;R$ 409785,42;R$ 1862,22;R$ 0,00;R$ 131423,29;R$ 0,00;R$ 334440,91;R$ 0,00;R$ 32636,47;R$ 7878,15;R$ 4182,86;R$ 0,00;R$ 377023,43;R$ 227008,94;R$ 162399,84
412560;PR;SAO MATEUS DO SUL;38329;R$ 644997,24;R$ 0,00;R$ 0,00;R$ 3411351,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1072059,06;R$ 136886,11;R$ 4075066,58;R$ 0,00;R$ 7726850,76;R$ 62116,78;R$ 0,00;R$ 1933425,58;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1244162,89;R$ 0,00;R$ 33380,00;R$ 290,30;R$ 0,00;R$ 872236,95;R$ 2651461,23;R$ 641346,22;R$ 703982,21
412570;PR;SAO MIGUEL DO IGUACU;26428;R$ 1065000,00;R$ 0,00;R$ 0,00;R$ 4510934,92;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2047449,40;R$ 0,00;R$ 6285184,89;R$ 0,00;R$ 8342585,38;R$ 729613,78;R$ 0,00;R$ 5799824,08;R$ 14926,57;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2097998,84;R$ 0,00;R$ 2373547,45;R$ 360829,05;R$ 0,00;R$ 0,00;R$ 0,00;R$ 850735,73;R$ 3660338,96
412580;PR;SAO PEDRO DO IVAI;9545;R$ 188804,08;R$ 29743,87;R$ 0,00;R$ 924002,68;R$ 7265,69;R$ 13200,00;R$ 0,00;R$ 212190,67;R$ 757355,32;R$ 1203775,73;R$ 2690,82;R$ 1867853,02;R$ 16483,83;R$ 0,00;R$ 590460,66;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 51367,12;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 523720,32;R$ 54416,68;R$ 18465,66
412590;PR;SAO PEDRO DO PARANA;2477;R$ 139184,67;R$ 0,00;R$ 0,00;R$ 965775,01;R$ 0,00;R$ 0,00;R$ 0,00;R$ 328301,60;R$ 59033,04;R$ 1060413,58;R$ 0,00;R$ 938409,69;R$ 0,00;R$ 0,00;R$ 311059,46;R$ 0,00;R$ 25247,82;R$ 46261,54;R$ 0,00;R$ 35188,88;R$ 0,00;R$ 1360,09;R$ 0,00;R$ 0,00;R$ 0,00;R$ 355319,68;R$ 54781,49;R$ 134489,19
412600;PR;SAO SEBASTIAO DA AMOREIRA;8858;R$ 241289,00;R$ 41681,00;R$ 0,00;R$ 689561,00;R$ 7637,00;R$ 0,00;R$ 0,00;R$ 141030,00;R$ 91232,00;R$ 1811391,00;R$ 223964,00;R$ 1550165,00;R$ 90748,00;R$ 0,00;R$ 267665,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 37711,00;R$ 0,00;R$ 191,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 611558,00;R$ 284290,00;R$ 218145,00
412610;PR;SAO TOME;5009;R$ 120580,54;R$ 21145,55;R$ 0,00;R$ 936568,17;R$ 17245,84;R$ 0,00;R$ 0,00;R$ 222157,97;R$ 4546,07;R$ 1044949,85;R$ 4539,85;R$ 1185474,39;R$ 49388,25;R$ 0,00;R$ 550350,77;R$ 0,00;R$ 0,00;R$ 10733,82;R$ 0,00;R$ 136731,39;R$ 0,00;R$ 55398,66;R$ 175,00;R$ 0,00;R$ 0,00;R$ 409524,47;R$ 52416,00;R$ 381229,23
412620;PR;SAPOPEMA;6758;R$ 216603,82;R$ 0,00;R$ 0,00;R$ 707444,64;R$ 0,00;R$ 0,00;R$ 0,00;R$ 144329,88;R$ 0,00;R$ 951885,24;R$ 0,00;R$ 1456227,31;R$ 9824,78;R$ 0,00;R$ 783211,19;R$ 0,00;R$ 0,00;R$ 7550,00;R$ 0,00;R$ 136422,30;R$ 0,00;R$ 0,00;R$ 22346,36;R$ 0,00;R$ 0,00;R$ 348659,05;R$ 3148,05;R$ 183616,39
412625;PR;SARANDI;83449;R$ 1386000,00;R$ 173000,00;R$ 0,00;R$ 2148000,00;R$ 0,00;R$ 193000,00;R$ 0,00;R$ 2344000,00;R$ 0,00;R$ 5338000,00;R$ 89000,00;R$ 10391624,01;R$ 269000,00;R$ 2000,00;R$ 3840000,00;R$ 0,00;R$ 2390000,00;R$ 707000,00;R$ 0,00;R$ 29000,00;R$ 0,00;R$ 221000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 19000,00;R$ 317000,00;R$ 1267000,00
412627;PR;SAUDADE DO IGUACU;4646;R$ 188247,90;R$ 0,00;R$ 0,00;R$ 934614,93;R$ 0,00;R$ 0,00;R$ 0,00;R$ 278239,33;R$ 0,00;R$ 1039760,27;R$ 0,00;R$ 1465907,48;R$ 22274,97;R$ 0,00;R$ 380394,06;R$ 0,00;R$ 0,00;R$ 2548,50;R$ 0,00;R$ 327902,04;R$ 0,00;R$ 0,00;R$ 36960,00;R$ 0,00;R$ 0,00;R$ 839486,68;R$ 60502,39;R$ 51046,31
412630;PR;SENGES;19206;R$ 754797,19;R$ 0,00;R$ 0,00;R$ 3069492,37;R$ 0,00;R$ 0,00;R$ 0,00;R$ 799401,07;R$ 0,00;R$ 2374112,52;R$ 0,00;R$ 4063585,72;R$ 60305,21;R$ 0,00;R$ 1217740,25;R$ 0,00;R$ 25876,84;R$ 41816,88;R$ 0,00;R$ 242714,99;R$ 0,00;R$ 0,00;R$ 236607,82;R$ 0,00;R$ 0,00;R$ 1267161,14;R$ 216604,99;R$ 410926,12
