##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intraorçamentárias)
292665;BA;Ribeirão do Largo;8713;810929.59;0;0;5814789.03;0;0;0;603702.33;0;3365313.08;0;0;9600.00;0;400061.03;0;135832.62;22499.78;0;26615.15;0;0;0;0;0;45439.23;10110193.70;0;0
350550;SP;Barretos;118521;7810693.63;0;0;55875389.71;0;2123266.12;0;37940772.69;28967038.91;88479359.95;0;91795959.73;3584589.31;66958.36;29927684.26;1243.42;17657023.61;3389585.42;0;0;0;1397027.29;0;0;0;13165721.35;6390354.34;149554.06;18949723.12
430692;RS;Engenho Velho;1428;458594.26;0;0;1538781.05;0;0;0;531098.11;1227701.16;2132921.46;0;1514132.71;181565.47;0;770527.27;35895.35;290711.23;29177.84;0;651413.69;28228.87;61493.45;0;0;61872.48;744103.47;29403.05;16875.48;0
411150;PR;Ivaiporã;32705;0;139243.96;0;10541836.67;0;0;0;2428935.47;0;13090517.73;0;12944712.60;246261.69;0;14209920.78;0;0;1621549.39;0;1548153.95;0;332393.82;59323.00;0;0;3646403.87;484412.11;0;0
412430;PR;Santo Antônio do Paraíso;2359;0;0;142965.28;1872657.70;0;0;0;493850.72;0;3159871.16;76596.87;1746210.60;255461.31;0;980768.48;45346.74;351521.81;0;0;76388.04;0;0;0;0;0;2281433.85;89408.94;362734.27;0
221140;PI;Várzea Grande;4339;398751.80;0;0;1814829.85;0;0;0;451670.81;0;2606709.26;0;3131354.52;134548.56;0;787103.78;0;169459.16;0;0;101460.41;0;0;0;15800.00;31598.15;35482.16;33263.44;158357.62;0
430090;RS;Aratiba;6663;1062009.88;0;0;10069144.10;0;41646.72;0;969796.26;1164596.94;7241419.87;0;6289311.14;458121.88;0;1629080.01;132814.78;230496.76;61468.09;2470.00;1879545.82;0;1435824.23;103251.19;42962.59;68020.24;3323804.81;330815.80;236743.20;1690315.24
251160;PB;Pilões;6793;544901.81;0;0;3563233.58;0;0;0;670305.81;1141708.46;2799688.38;0;5398445.17;243505.30;0;89878.07;0;0;0;0;1570.00;0;0;0;0;0;40452.00;98417.53;88984.86;334525.20
312250;MG;Dom Cavati;5288;475184.24;115301.67;0;2478153.59;0;10280.02;0;793526.12;211784.37;2333978.64;126676.95;2722506.02;35133.20;0;1642677.07;0;0;0;0;221396.61;0;0;0;0;60191.68;532875.71;349977.28;288264.96;0
260915;PE;Manari;19910;1145446.79;0;0;4245051.72;0;0;0;2855403.31;1890639.57;6336353.77;0;18231827.88;482360.54;0;872844.43;0;0;0;0;956700.84;0;0;0;0;0;219796.32;7900.00;1454661.43;0
292670;BA;Rio de Contas;13653;805369.24;0;0;2708251.24;0;112778.23;0;639645.26;0;6727728.71;0;6797585.64;882578.44;0;4644346.96;0;0;67320.07;0;125312.65;0;0;0;0;9449.84;275501.69;24811.71;0;0
521970;GO;Santa Terezinha de Goiás;10008;767016.21;459.35;0;2531283.31;0;132097.90;0;1204255.29;1942780.38;4490394.24;104306.21;5993155.54;0;0;1318109.61;0;0;53329.56;0;52202.67;0;0;0;0;0;346547.14;46061.82;0;0
410130;PR;Antônio Olinto;7573;0;0;0;1847389.89;0;0;0;550540.72;0;4903209.34;0;4316150.08;128.70;0;38015.55;0;0;0;0;496184.74;0;0;0;0;0;3118885.61;566591.54;75465.19;0
211270;MA;Vargem Grande;53918;0;0;0;9315049.93;0;0;0;2313111.07;0;16483379.35;0;40279427.31;644979.47;0;1300700.00;0;251872.03;0;0;573147.85;0;0;131955.76;0;0;130875.45;282045.35;0;0
211190;MA;Sucupira do Norte;10444;241586.14;38622.84;0;3755550.04;0;0;0;359996.64;0;4126391.88;89820.99;9617330.79;102718.00;0;908974.64;299933.20;48218.59;0;0;14324.00;0;0;0;0;230847.00;847598.29;644709.02;0;0
330510;RJ;São João de Meriti;460711;12233905.07;0;0;73281619.47;0;6400038.55;0;5043237.90;55648844.11;135686758.38;2599016.05;116678174.68;2701931.07;106123.25;53083902.21;0;10126365.97;4471068.83;1813254.85;0;0;0;1377088.46;1271476.06;18970781.91;594375.15;0;28447098.72;0
120070;AC;Xapuri;17317;0;60400.00;1011.09;3791585.07;75763.56;0;0;647454.87;0;6227187.90;0;6445187.38;802922.10;0;3397686.65;0;0;289651.73;0;1181167.84;0;0;0;0;0;680075.91;15000.00;719387.23;0
411160;PR;Ivatuba;3180;576372.76;95792.81;0;2234879.19;18724.67;0;0;347326.82;482269.92;3743270.00;95692.70;3328344.09;64364.18;0;932837.28;0;67318.40;46983.62;0;95936.30;0;77444.57;35363.98;0;0;1002474.74;213396.87;521014.78;491954.57
410950;PR;Guaraqueçaba;7988;0;202374.92;0;6271591.03;0;0;0;786066.55;0;5235432.50;0;4776229.06;263103.50;0;136297.50;0;0;292888.37;0;13297.23;0;0;26045.73;0;0;25128.63;58218.23;763116.27;0
231250;CE;São João do Jaguaribe;7774;771147.52;0;0;2394571.73;0;0;0;927270.16;0;4344197.69;0;5605155.92;335068.84;0;1734174.20;0;0;0;0;226845.38;0;0;0;0;0;84292.00;0;0;0
412470;PR;São Jerônimo da Serra;11570;0;110924.01;0;2932854.76;0;0;0;995370.49;0;5625403.69;291458.79;7072474.10;77106.71;0;2532727.47;0;74951.00;135052.59;0;80531.51;0;0;2219.88;0;0;9776.69;10098.70;270561.19;0
211027;MA;Santo Amaro do Maranhão;15110;0;0;0;3585641.68;0;41343.56;0;942156.58;79253.88;5188185.91;0;13267095.08;168116.00;0;288566.63;0;0;0;0;71272.00;0;0;96892.43;1050.00;294787.03;0;79280.00;261886.27;0
251278;PB;Riacho de Santo Antônio;1890;531830.81;0;0;2005332.94;0;6770.64;0;602212.11;0;2177129.65;0;2818566.93;367736.17;0;1145081.44;0;0;17228.95;0;376900.46;0;0;0;0;59335.83;0;8005.40;171070.17;0
510190;MT;Brasnorte;17361;1812088.33;0;0;5555180.99;0;0;0;1382312.47;0;15125558.90;0;12000403.78;122186.80;0;3478847.16;0;617375.71;0;0;1084650.04;0;0;0;0;0;3512532.84;459584.21;598779.97;0
431450;RS;Pinheiro Machado;13011;1271629.91;0;0;9597350.95;0;0;0;572275.23;4516843.98;7786288.16;1202863.25;9908344.78;287910.47;0;250376.87;55549.32;15462.14;17788.00;0;3919.40;0;0;0;0;0;96215.95;14985.14;910344.28;2202663.38
231310;CE;Tabuleiro do Norte;30143;1515914.74;0;192470.77;8249195.33;0;0;0;2301159.59;0;12360017.15;0;18588815.87;829976.04;0;3205348.64;0;0;287592.21;0;961475.48;0;0;39583.49;0;0;628917.46;353614.08;303652.91;0
291125;BA;Gavião;4729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13120446.07
220105;PI;Assunção do Piauí;7667;435148.91;0;0;3908202.78;0;0;0;655059.79;0;2726400.54;0;7529732.86;945.00;0;96682.20;0;87635.07;0;0;38723.85;0;0;0;0;0;0;371340.62;0;0
431057;RS;Itapuca;2341;312361.97;0;0;2253613.60;0;17621.00;0;642010.92;62202.83;2168322.91;0;1776741.63;74212.85;0;694079.44;0;103617.84;101805.84;0;645572.53;0;0;7530.00;31171.58;0;872193.89;828293.61;306114.17;0
315980;MG;Santa Vitória;19250;3889679.68;0;0;20394509.40;0;0;0;3413658.27;5472863.51;21396563.22;87000.00;14139335.70;427183.97;0;5430058.08;0;0;0;0;1038453.56;0;0;473632.57;0;110032.58;1108748.02;1115864.94;2078777.60;5839407.23
316620;MG;Senhora dos Remédios;10565;588191.30;0;0;1420020.90;0;0;0;371524.25;933554.37;6146322.02;0;2814383.94;156368.27;0;1961498.01;0;418488.80;0;0;559308.66;0;0;8985.60;0;0;339398.90;107846.55;354925.16;0
354960;SP;São José do Barreiro;4188;467104.56;0;0;1365964.67;0;0;0;876111.86;481528.33;4426868.13;0;5250816.55;10358.08;0;1119648.03;0;518731.74;308358.96;0;174857.60;0;0;769933.04;0;0;486859.90;266836.89;524460.16;0
171510;TO;Novo Acordo;4101;434593.19;0;0;1642573.77;0;0;0;465892.94;0;2585701.81;0;2781081.53;246869.38;0;520671.33;0;0;372943.54;0;403504.02;0;0;28915.55;0;0;0;88644.93;143311.42;0
150250;PA;Chaves;22302;97843.22;5124.24;75000.00;15568351.18;0;0;0;50752.26;0;5851954.15;0;21866776.73;455000.03;0;5271230.57;0;3172605.96;0;0;0;0;0;0;0;0;0;71552.50;586442.83;0
431460;RS;Piratini;20664;1265118.67;0;0;12075781.48;0;0;0;1659058.48;1260234.94;6469527.28;0;13834446.34;539101.21;0;1226.36;385864.62;347205.92;51838.24;0;675939.12;0;0;0;0;14411.92;0;9400.00;439165.75;2268473.16
