#"CodIBGE";"uf";"municipio";"populacao";"legislativa";"judiciária";"essencial à justiça";"administração";"defesa nacional";"segurança pública";"relações exteriores";"assistência social";"previdência social";"saúde";"trabalho";"educação";"cultura";"direitos da cidadania";"urbanismo";"habitação";"saneamento";"gestão ambiental";"ciência e tecnologia";"agricultura";"organização agrária";"indústria";"comércio e serviços";"comunicações";"energia";"transporte";"desporto e lazer";"encargos especiais";"desp por função intra-orçamentária"
431213;"RS";"Mato Castelhano";2473;R$ 342262,20;R$ 0,00;R$ 0,00;R$ 1829624,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 685676,72;R$ 22500,00;R$ 2259478,79;R$ 0,00;R$ 2531497,62;R$ 0,00;R$ 0,00;R$ 20906,79;R$ 106740,91;R$ 282817,36;R$ 424700,75;R$ 0,00;R$ 405315,78;R$ 0,00;R$ 1170,00;R$ 0,00;R$ 46822,29;R$ 152825,45;R$ 1355329,56;R$ 52226,74;R$ 8636,07;R$ 0,00
431215;"RS";"Mato Leitão";3964;R$ 315985,41;R$ 0,00;R$ 0,00;R$ 2546612,51;R$ 0,00;R$ 17158,27;R$ 0,00;R$ 401146,59;R$ 0,00;R$ 2511022,39;R$ 0,00;R$ 2824796,19;R$ 288557,42;R$ 0,00;R$ 368503,36;R$ 32348,57;R$ 120340,77;R$ 54654,00;R$ 0,00;R$ 778686,72;R$ 0,00;R$ 568074,88;R$ 7500,56;R$ 6592,02;R$ 0,00;R$ 1657301,90;R$ 96178,71;R$ 746152,05;R$ 0,00
431217;"RS";"Mato Queimado";1766;R$ 331872,42;R$ 0,00;R$ 0,00;R$ 1535953,31;R$ 0,00;R$ 0,00;R$ 0,00;R$ 400737,70;R$ 0,00;R$ 1917386,75;R$ 0,00;R$ 2173269,15;R$ 216641,41;R$ 0,00;R$ 1027997,08;R$ 0,00;R$ 105694,05;R$ 105135,46;R$ 0,00;R$ 742355,90;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 71273,50;R$ 0,00;R$ 0,00;R$ 0,00
431220;"RS";"Maximiliano de Almeida";4800;R$ 292732,61;R$ 0,00;R$ 0,00;R$ 2425355,84;R$ 0,00;R$ 4911,54;R$ 0,00;R$ 399110,65;R$ 191101,68;R$ 2228759,09;R$ 0,00;R$ 2517444,62;R$ 33812,95;R$ 0,00;R$ 25561,73;R$ 93792,25;R$ 0,00;R$ 904,28;R$ 0,00;R$ 674952,08;R$ 0,00;R$ 88547,80;R$ 0,00;R$ 2805,84;R$ 121139,15;R$ 1708672,45;R$ 59641,33;R$ 332732,57;R$ 0,00
431225;"RS";"Minas do Leão";7678;R$ 666266,88;R$ 0,00;R$ 0,00;R$ 2790361,91;R$ 0,00;R$ 580,00;R$ 0,00;R$ 241561,79;R$ 0,00;R$ 2975043,85;R$ 0,00;R$ 4303341,71;R$ 83272,16;R$ 0,00;R$ 1540611,59;R$ 261650,24;R$ 95441,50;R$ 109808,76;R$ 0,00;R$ 118058,74;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 983924,39;R$ 22663,46;R$ 717246,33;R$ 0,00
431230;"RS";"Miraguaí";4828;R$ 60262,56;R$ 0,00;R$ 0,00;R$ 2294829,71;R$ 0,00;R$ 0,00;R$ 0,00;R$ 474063,94;R$ 0,00;R$ 2535052,96;R$ 0,00;R$ 3828437,79;R$ 36610,74;R$ 0,00;R$ 171072,99;R$ 0,00;R$ 388815,78;R$ 0,00;R$ 0,00;R$ 717624,14;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 447428,78;R$ 209473,90;R$ 0,00;R$ 0,00
431235;"RS";"Montauri";1521;R$ 161244,56;R$ 0,00;R$ 0,00;R$ 1930165,53;R$ 0,00;R$ 0,00;R$ 0,00;R$ 82824,68;R$ 0,00;R$ 1941996,22;R$ 0,00;R$ 1207628,54;R$ 82336,44;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 6513,70;R$ 0,00;R$ 820907,51;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 96393,26;R$ 2825797,24;R$ 136906,83;R$ 0,00;R$ 0,00
431237;"RS";"Monte Alegre dos Campos";3112;R$ 284828,05;R$ 21367,84;R$ 0,00;R$ 1453017,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 404630,79;R$ 0,00;R$ 2416594,23;R$ 0,00;R$ 4289086,32;R$ 106983,21;R$ 0,00;R$ 81603,84;R$ 520825,56;R$ 0,00;R$ 0,00;R$ 0,00;R$ 502299,47;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 82739,57;R$ 3115343,13;R$ 27507,50;R$ 136346,87;R$ 0,00
431238;"RS";"Monte Belo do Sul";2637;R$ 260543,47;R$ 0,00;R$ 0,00;R$ 1056670,03;R$ 0,00;R$ 0,00;R$ 0,00;R$ 73815,44;R$ 0,00;R$ 1997559,53;R$ 0,00;R$ 2246306,33;R$ 83006,84;R$ 0,00;R$ 39030,40;R$ 0,00;R$ 651484,41;R$ 73698,40;R$ 0,00;R$ 305100,93;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2500633,55;R$ 39195,00;R$ 884593,57;R$ 0,00
431240;"RS";"Montenegro";60196;R$ 2111518,84;R$ 1864846,22;R$ 0,00;R$ 19309463,79;R$ 0,00;R$ 123804,49;R$ 0,00;R$ 3051359,33;R$ 20766816,40;R$ 23029498,28;R$ 0,00;R$ 28992391,33;R$ 3464398,03;R$ 469998,24;R$ 12305834,50;R$ 0,00;R$ 4928954,69;R$ 375526,28;R$ 0,00;R$ 1041690,02;R$ 0,00;R$ 82736,77;R$ 235645,57;R$ 0,00;R$ 1292961,32;R$ 404669,84;R$ 728955,04;R$ 2581027,03;R$ 0,00
