##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intra-Orçamentárias)
410120;PR;Antonina;19412;0;0;0;7054485.10;0;20349.35;0;582654.00;0;9236615.02;0;8781319.58;649904.36;0;5985465.84;0;0;573144.48;0;48250.00;0;0;162271.96;0;0;0;15431.59;1812598.96;0
420250;SC;Bom Jardim da Serra;4566;474182.27;0;0;1656839.19;0;3799.44;0;482066.65;0;2892805.27;0;3359366.48;0;0;2397405.06;14690.29;0;0;0;376223.80;0;0;100872.62;6300.00;0;3379241.20;78850.26;254610.46;0
430960;RS;Horizontina;19112;2594793.63;0;0;9467054.47;0;0;0;785156.92;5613184.74;8966342.09;0;12427241.07;524700.66;0;914519.42;55272.59;966096.70;34363.54;0;2267617.95;0;283374.13;228506.81;0;0;3733225.73;373615.57;885337.03;0
291500;BA;Itaeté;15996;932599.09;0;0;2051820.29;0;0;0;635929.01;0;6342871.72;0;12118889.35;266236.11;0;3266360.74;0;334506.53;0;0;904900.62;0;0;0;0;0;353554.84;0;125604.94;0
411730;PR;Ortigueira;23646;0;743435.15;0;7902542.28;0;0;0;1841439.30;0;8088675.62;0;12351465.18;0;0;248884.39;0;58730.01;1182810.86;0;782334.53;0;0;0;0;0;3988352.92;61961.70;1092477.85;0
520945;GO;Guarinos;2221;524817.97;0;0;2274785.78;0;41508.09;0;660051.85;93222.85;2078115.13;0;1514711.67;530.60;0;1017030.84;0;0;73400.29;0;112679.63;0;0;22520.00;0;0;590444.51;112674.09;0;0
172020;TO;São Miguel do Tocantins;11271;518313.04;3462.30;0;2586054.29;0;10415.00;0;683694.62;0;3245198.15;90332.18;5869935.08;330754.52;0;431760.46;0;437.00;340015.93;0;205001.74;0;0;0;0;0;168802.08;228992.62;39709.86;0
431490;RS;Porto Alegre;1467816;107486880.88;25850412.29;0;315648109.39;0;41073402.18;254022.40;164992448.97;278232894.96;1259951978.16;6339989.20;736108874.31;46332971.52;13593094.43;177500949.16;121920230.08;769314013.44;60123943.99;2399344.30;540613.51;0;0;33364056.74;0;0;26352053.06;15246285.75;341694915.67;311767714.41
230860;CE;Monsenhor Tabosa;16984;1008000.00;64206.00;0;8030670.01;0;0;0;451461.55;0;4344830.34;210997.26;12112330.34;188245.00;0;1136294.87;0;0;0;0;0;0;0;0;0;0;0;9047.24;354724.68;0
230360;CE;Catarina;19676;1119378.00;0;0;3329679.91;0;0;0;1122527.59;0;7855184.02;28699.50;9007541.82;317512.30;0;2255732.08;0;0;0;0;2410212.03;0;0;0;0;0;378294.00;653041.76;1070831.23;0
500020;MS;Água Clara;13938;0;0;3270.00;10099200.27;0;0;0;2229495.50;0;10775127.40;0;16031005.17;419354.58;0;84956.35;0;0;23240.87;0;0;0;247710.52;0;0;292236.44;47500.00;62630.00;129887.32;0
241160;RN;São Bento do Norte;2967;0;0;0;7920657.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
421690;SC;São Lourenço do Oeste;22786;1258218.46;709207.69;0;4427093.39;0;427056.19;0;1410301.75;0;10400144.97;0;16500819.19;1123772.18;0;8875949.23;31053.71;50004.90;0;0;2143618.93;0;0;0;0;0;0;536362.80;1487193.20;0
420475;SC;Cunhataí;1931;514400.97;0;0;1422485.38;0;19134.57;0;288934.38;0;1769121.65;0;1561592.27;63417.17;62084.47;71042.11;0;0;0;0;1015217.76;0;0;0;0;0;1008108.99;457257.45;296719.95;0
150275;PA;Concórdia do Pará;30233;0;0;0;12938568.55;0;910.00;0;2482326.23;0;12681964.76;0;38381383.54;700042.17;0;13420.00;0;257582.77;0;0;11403.38;0;0;0;0;0;0;0;641746.68;0
